second,tpm
0,0
1,3060
2,18480
3,36720
4,57000
5,81960
6,113220
7,134520
8,161460
9,185160
10,208200
11,241980
12,274440
13,308520
14,339600
15,370140
16,401160
17,426840
18,452640
19,480780
20,509700
21,529020
22,540060
23,562800
24,570420
25,602940
26,607560
27,632760
28,648900
29,655680
30,671040
31,692280
32,720180
33,736500
34,744720
35,761640
36,774360
37,783780
38,815340
39,700320
40,634560
41,621120
42,614580
43,610020
44,604320
45,625920
46,671760
47,677760
48,672480
49,690120
50,683760
51,667320
52,677520
53,673080
54,686520
55,677280
56,665880
57,626760
58,635160
59,606060
60,600000
61,590760
62,585120
63,591300
64,595440
65,601380
66,612660
67,658920
68,637200
69,644760
70,659040
71,633360
72,661920
73,645720
74,656040
75,659880
76,637740
77,646260
78,635580
79,646440
80,672600
81,699720
82,673500
83,663480
84,669960
85,665340
86,666600
87,692700
88,682320
89,648360
90,669180
91,672900
92,663300
93,661020
94,668640
95,672360
96,694380
97,694860
98,685380
99,687420
100,674520
101,687720
102,692820
103,687660
104,686400
105,693360
106,681120
107,682680
108,680160
109,685620
110,677340
111,707700
112,693600
113,665580
114,685680
115,686220
116,690300
117,709560
118,706740
119,673320
120,675900
121,685920
122,670920
123,686760
124,682320
125,658680
126,652740
127,660840
128,667500
129,665400
130,677520
131,686280
132,661620
133,656520
134,671160
135,669720
136,666000
137,678600
138,674640
139,652140
140,661560
141,675720
142,662460
143,673200
144,684600
145,678960
146,670560
147,694500
148,676920
149,689640
150,682320
151,670560
152,680280
153,652680
154,664920
155,682380
156,682740
157,682260
158,682740
159,658620
160,672360
161,679740
162,671760
163,677640
164,681480
165,670860
166,649620
167,682080
168,677880
169,685800
170,694620
171,686220
172,677760
173,689220
174,690060
175,683220
176,686940
177,682560
178,695760
179,660840
180,675720
181,680880
182,669720
183,676560
184,678780
185,678720
186,660540
187,671400
188,682200
189,681180
190,675240
191,686580
192,679860
193,662520
194,684900
195,683820
196,675300
197,685320
198,686040
199,675540
200,695340
201,680760
202,692880
203,693540
204,679680
205,686520
206,662160
207,650520
208,653700
209,658920
210,672120
211,666300
212,663300
213,641340
214,678540
215,683340
216,673680
217,679620
218,679500
219,658260
220,678780
221,690060
222,680160
223,682020
224,688800
225,687000
226,687000
227,701220
228,703080
229,699120
230,712080
231,680160
232,676860
233,704640
234,708000
235,701460
236,710040
237,715800
238,700380
239,693180
240,708660
241,688920
242,697740
243,674760
244,698940
245,668340
246,689820
247,666420
248,671400
249,654060
250,680040
251,688200
252,672840
253,705600
254,714540
255,707100
256,700560
257,677820
258,671820
259,657000
260,642900
261,633300
262,672300
263,661980
264,660600
265,659340
266,643200
267,666960
268,664320
269,656100
270,679200
271,679920
272,683460
273,687480
274,689040
275,690000
276,701640
277,688860
278,695880
279,674280
280,691500
281,710460
282,705360
283,708720
284,700020
285,691020
286,693420
287,682560
288,677520
289,685920
290,675180
291,677040
292,660600
293,678540
294,676800
295,678420
296,682440
297,679500
298,671760
299,660720
300,664740
301,683760
302,684240
303,672240
304,675540
305,582300
306,614640
307,619980
308,591420
309,610560
310,594240
311,591480
312,555360
313,580980
314,583800
315,580740
316,633000
317,655620
318,652680
319,632460
320,675480
321,674280
322,662340
323,662040
324,667860
325,682260
326,662340
327,614160
328,648180
329,663300
330,621000
331,588360
332,628920
333,615120
334,610800
335,593820
336,589980
337,580620
338,616380
339,586680
340,602460
341,651600
342,642120
343,598020
344,593340
345,586800
346,609960
347,573660
348,555120
349,566460
350,544080
351,592200
352,599460
353,624000
354,602160
355,566580
356,585300
357,603720
358,602520
359,577380
360,591480
361,596760
362,565740
363,544920
364,588900
365,623640
366,605400
367,613560
368,611460
369,594840
370,582120
371,599520
372,624180
373,612900
374,582300
375,602820
376,620160
377,616860
378,568200
379,594300
380,597300
381,548700
382,585660
383,594360
384,606780
385,589740
386,571500
387,607860
388,613860
389,594780
390,595260
391,632160
392,625860
393,562920
394,602040
395,610620
396,600600
397,585660
398,615240
399,603660
400,592740
401,542220
402,597360
403,604200
404,533760
405,569520
406,599880
407,591540
408,537960
409,567960
410,586500
411,606780
412,589260
413,588660
414,600600
415,585480
416,551460
417,582600
418,619740
419,541380
420,553440
421,569400
422,598560
423,565920
424,513240
425,564240
426,596160
427,547380
428,553200
429,540780
430,538980
431,578340
432,530580
433,563340
434,564960
435,537300
436,547980
437,518220
438,515160
439,471540
440,439200
441,430800
442,461520
443,457800
444,440160
445,423720
446,516180
447,640740
448,652320
449,644280
450,660000
451,660660
452,665760
453,669180
454,676140
455,693960
456,693000
457,678300
458,693060
459,692220
460,686820
461,696660
