elapsed_sec,sum_next_o_id,orders_delta,nopm_rate
206,30781502,4430,132900.0
207,30785942,4440,266400.0
208,30790388,4446,266760.0
209,30794842,4454,267240.0
210,30799289,4447,266820.0
211,30803733,4444,266640.0
212,30808135,4402,264120.0
213,30812607,4472,268320.0
214,30817063,4456,267360.0
215,30821479,4416,264960.0
216,30825913,4434,266040.0
217,30830328,4415,264900.0
218,30834761,4433,265980.0
219,30839210,4449,266940.0
220,30843655,4445,266700.0
221,30848077,4422,265320.0
222,30852505,4428,265680.0
223,30857015,4510,270600.0
224,30861470,4455,267300.0
225,30865901,4431,265860.0
226,30870413,4512,270720.0
227,30874843,4430,265800.0
228,30879372,4529,271740.0
229,30883803,4431,265860.0
230,30888192,4389,263340.0
231,30892718,4526,271560.0
233,30897146,4428,132840.0
234,30901538,4392,263520.0
235,30905959,4421,265260.0
236,30910488,4529,271740.0
237,30914915,4427,265620.0
238,30919110,4195,251700.0
239,30923183,4073,244380.0
240,30927361,4178,250680.0
241,30931483,4122,247320.0
242,30935630,4147,248820.0
243,30939903,4273,256380.0
244,30944272,4369,262140.0
245,30948673,4401,264060.0
246,30953102,4429,265740.0
247,30957504,4402,264120.0
249,30961986,4482,134460.0
250,30966403,4417,265020.0
251,30970976,4573,274380.0
252,30975428,4452,267120.0
253,30979860,4432,265920.0
254,30984321,4461,267660.0
255,30988674,4353,261180.0
256,30993065,4391,263460.0
257,30997473,4408,264480.0
258,31001992,4519,271140.0
259,31006454,4462,267720.0
261,31010885,4431,132930.0
262,31015347,4462,267720.0
263,31019878,4531,271860.0
264,31024033,4155,249300.0
265,31028265,4232,253920.0
266,31032712,4447,266820.0
267,31037241,4529,271740.0
268,31041789,4548,272880.0
269,31046282,4493,269580.0
270,31050722,4440,266400.0
271,31055162,4440,266400.0
273,31059381,4219,126570.0
274,31063716,4335,260100.0
275,31068248,4532,271920.0
276,31072867,4619,277140.0
277,31077354,4487,269220.0
278,31081813,4459,267540.0
279,31086291,4478,268680.0
280,31090842,4551,273060.0
281,31095320,4478,268680.0
282,31099775,4455,267300.0
283,31104264,4489,269340.0
284,31108758,4494,269640.0
286,31113251,4493,134790.0
287,31117754,4503,270180.0
288,31122336,4582,274920.0
289,31126808,4472,268320.0
290,31131188,4380,262800.0
291,31135415,4227,253620.0
292,31139750,4335,260100.0
293,31143830,4080,244800.0
294,31147924,4094,245640.0
295,31152162,4238,254280.0
297,31156505,4343,130290.0
298,31160844,4339,260340.0
299,31165249,4405,264300.0
300,31169481,4232,253920.0
301,31173579,4098,245880.0
302,31177660,4081,244860.0
303,31181678,4018,241080.0
304,31185762,4084,245040.0
305,31189852,4090,245400.0
307,31193775,3923,117690.0
308,31197770,3995,239700.0
309,31201736,3966,237960.0
310,31205824,4088,245280.0
311,31209817,3993,239580.0
312,31213693,3876,232560.0
313,31217809,4116,246960.0
314,31221833,4024,241440.0
316,31225937,4104,123120.0
317,31229969,4032,241920.0
318,31234068,4099,245940.0
319,31238148,4080,244800.0
320,31242280,4132,247920.0
321,31246451,4171,250260.0
322,31250529,4078,244680.0
323,31254548,4019,241140.0
324,31258600,4052,243120.0
326,31262609,4009,120270.0
327,31266657,4048,242880.0
328,31270660,4003,240180.0
329,31274652,3992,239520.0
330,31278722,4070,244200.0
331,31282755,4033,241980.0
332,31287050,4295,257700.0
333,31291369,4319,259140.0
334,31295696,4327,259620.0
336,31299978,4282,128460.0
337,31304304,4326,259560.0
338,31308577,4273,256380.0
339,31312910,4333,259980.0
340,31317113,4203,252180.0
341,31321438,4325,259500.0
342,31325730,4292,257520.0
343,31330056,4326,259560.0
345,31334461,4405,132150.0
346,31338794,4333,259980.0
347,31343031,4237,254220.0
348,31347322,4291,257460.0
349,31351629,4307,258420.0
350,31355949,4320,259200.0
351,31360196,4247,254820.0
352,31364485,4289,257340.0
353,31368757,4272,256320.0
355,31372872,4115,123450.0
356,31377121,4249,254940.0
357,31381317,4196,251760.0
358,31385632,4315,258900.0
359,31390036,4404,264240.0
360,31394322,4286,257160.0
361,31398667,4345,260700.0
362,31402949,4282,256920.0
363,31407276,4327,259620.0
365,31411613,4337,130110.0
366,31415920,4307,258420.0
367,31420224,4304,258240.0
368,31424601,4377,262620.0
369,31428913,4312,258720.0
370,31433169,4256,255360.0
371,31437453,4284,257040.0
372,31441765,4312,258720.0
374,31446092,4327,129810.0
375,31450395,4303,258180.0
376,31454672,4277,256620.0
377,31458905,4233,253980.0
378,31463129,4224,253440.0
379,31467428,4299,257940.0
380,31471660,4232,253920.0
381,31475858,4198,251880.0
382,31480158,4300,258000.0
384,31484368,4210,126300.0
385,31488687,4319,259140.0
386,31492997,4310,258600.0
387,31497265,4268,256080.0
388,31501608,4343,260580.0
389,31505958,4350,261000.0
390,31510189,4231,253860.0
391,31514444,4255,255300.0
392,31518749,4305,258300.0
394,31523045,4296,128880.0
