second,tpm
0,0
1,3840
2,19020
3,40200
4,63600
5,95520
6,119460
7,149400
8,178560
9,205440
10,234480
11,266100
12,300180
13,333780
14,367620
15,404100
16,435600
17,458040
18,479040
19,518460
20,551880
21,544860
22,572580
23,554700
24,615960
25,644940
26,642960
27,690420
28,708480
29,721440
30,741300
31,774960
32,790620
33,697680
34,798660
35,855300
36,854100
37,883800
38,881640
39,900540
40,886980
41,926580
42,941400
43,945120
44,958920
45,972660
46,990120
47,1001460
48,956340
49,962940
50,970020
51,907500
52,925680
53,912060
54,942960
55,930420
56,955500
57,1045620
58,1042200
59,1037700
60,1052880
61,1055520
62,1065600
63,1056000
64,1083900
65,1091280
66,1100160
67,1096740
68,1098840
69,1087080
70,1110180
71,1109520
72,1092540
73,1093620
74,1089720
75,1042140
76,1052940
77,1067760
78,1049820
79,1061640
80,1068300
81,1053000
82,1042860
83,1045380
84,1034040
85,1038180
86,1033500
87,1035960
88,1026720
89,1028940
90,1026780
91,1034580
92,1037820
93,1018860
94,1032360
95,1031580
96,1036620
97,1030380
98,1025700
99,1059900
100,1072680
101,1058880
102,1055100
103,1067760
104,1070820
105,1075440
106,1074180
107,1085940
108,1070280
109,1075500
110,1084260
111,1083060
112,1040220
113,1045620
114,1048440
115,1027440
116,1014000
117,1057500
118,1094700
119,1078260
120,1080420
121,1099560
122,1089720
123,1087200
124,1090560
125,1095420
126,1078500
127,1088400
128,1094460
129,1060980
130,1104300
131,1090440
132,1089720
133,1096020
134,1100400
135,1110480
136,1100940
137,1093080
138,1104840
139,1117740
140,1101120
141,1081440
142,1090860
143,1101480
144,1102920
145,1081920
146,1105500
147,1109400
148,1099380
149,1089600
150,1099620
151,1086840
152,1097640
153,1088160
154,1077180
155,1100460
156,1100100
157,1091400
158,1094400
159,1100040
160,1074120
161,1041060
162,1093740
163,1097400
164,1086960
165,1083600
166,1043220
167,958440
168,1053780
169,1073220
170,1106760
171,1113000
172,1107600
173,1114740
174,1112820
175,1129500
176,1106460
177,1106040
178,1096080
179,1116600
180,1100520
181,1109880
182,1110720
183,1117200
184,1120320
185,1109640
186,1093320
187,1083600
188,1072440
189,1038120
190,1018500
191,1052160
192,1039320
193,1033560
194,1049340
195,1030260
196,1046760
197,1052700
198,1062780
199,1069680
200,1086300
201,1020120
202,1063320
203,1068600
204,1099920
205,1099680
206,1068480
207,1068660
208,1083060
209,1083420
210,1088940
211,1083240
212,1077720
213,1007760
214,1076160
215,1080960
216,1094580
217,1085700
218,1064100
219,1046760
220,1062900
221,1052340
222,1063860
223,1085160
224,1058820
225,1056720
226,957120
227,1064280
228,1059480
229,1031340
230,1062360
231,1058040
232,1039020
233,1090620
234,1065780
235,1110240
236,1080780
237,1069680
238,1007400
239,1001100
240,1046580
241,1076520
242,1077420
243,1080000
244,1059840
245,1027260
246,1049820
247,1060380
248,1056600
249,1053360
250,1062360
251,1033500
252,974700
253,986100
254,1043280
255,1039200
256,1059660
257,1065840
258,1013940
259,1005420
260,1089600
261,1070280
262,1094640
263,1071720
264,1042320
265,988380
266,1013280
267,1048980
268,1073820
269,1046760
270,1045380
271,1036740
272,1041240
273,1054740
274,1055700
275,1039980
276,1024560
277,1025280
278,934920
279,944400
280,1021500
281,1017060
282,1036380
283,1056180
284,1034880
285,1038840
286,1016580
287,1026840
288,1044660
289,1031160
290,1030500
291,1045980
292,909480
293,990720
294,990540
295,964080
296,975000
297,1026060
298,1052640
299,1094940
300,1105200
301,1133760
302,1157940
303,1146420
304,1138440
305,1102200
306,1105080
307,1116900
308,1128720
309,1159140
310,1162920
311,1155780
312,1138200
313,1159860
314,1152900
315,1165560
316,1156620
317,1160760
318,1163820
319,1146600
320,1154640
321,1160580
322,1158840
323,1149000
324,1150020
325,1155060
326,1152480
327,1152960
328,1148460
329,1143660
330,1147020
331,1149000
332,1144140
333,1154160
334,1151160
335,1151160
336,1140540
337,1150860
338,1157880
339,1155240
340,1145760
341,1152540
342,1147140
343,1140060
344,1121940
345,1142040
346,1149960
347,1146420
348,1133100
349,1149840
350,1148280
351,1143780
352,1144500
353,1142280
354,1140720
355,1135080
356,1107540
357,1098060
358,1129560
359,1147140
360,1146000
361,1120980
362,1144020
363,1152240
364,1137060
365,1153500
366,1137840
367,1141680
368,1137660
369,1139520
370,1128540
371,1134480
372,1143780
373,1127760
374,1150500
375,1142040
376,1142460
377,1127400
378,1137060
379,1135740
380,1144440
381,1148580
382,1136160
383,1153980
384,1131720
385,1129200
386,1141380
387,1149420
388,1109280
389,1149360
390,1138860
391,1133400
392,1140360
393,1137180
394,1139520
395,1111920
396,1125900
397,1142880
398,1128360
399,1137060
400,1136100
401,1143540
402,1138320
403,1148220
404,1135380
405,1145520
406,1148340
407,1114740
408,1121880
409,1137660
410,1121280
411,1119240
412,1145220
413,1142280
414,1120920
415,1054680
416,1096560
417,1089660
418,1091040
419,1091880
420,1035660
421,1080180
422,1014240
423,1029120
424,1046880
425,1044840
426,1105500
427,1033260
428,1030800
429,1049580
430,1074660
431,1075560
432,1049640
433,1065480
434,1029780
435,1062420
436,999480
437,988860
438,1079040
439,1077780
440,1102020
441,1051260
442,1058760
443,1097340
444,1092360
445,1074960
446,1103640
447,1065660
448,1060320
449,968640
450,1119660
451,1105320
452,1109400
453,1140660
454,1116000
455,1094640
456,1103160
457,1102140
458,1113000
459,1132200
460,1102020
461,1090560
462,1054620
463,1047180
464,1094100
465,1107600
466,1112220
467,1126620
468,1068000
469,1091280
470,1125240
471,1108800
472,1069140
473,1132260
474,1001280
475,1114560
476,972420
477,1075500
478,1044600
479,1084920
480,1077720
481,1099860
482,1041540
483,1043220
484,1077480
485,1076580
486,1061760
487,1061400
488,1052340
489,1082820
490,950820
491,1075260
492,1032600
493,1065000
494,1074780
495,1055520
496,1018560
497,1004640
498,1076340
499,1036260
500,1064220
501,1030260
502,1010520
503,1056900
504,926220
505,1021680
506,1043820
507,1066680
508,1022220
509,1058340
510,1008120
511,1041180
512,1047960
513,1047420
514,1067340
515,1012560
516,1019940
517,1022340
518,962100
519,1095540
520,1078500
521,1082640
522,1202220
523,1184040
524,1174380
525,1165380
526,1140420
527,1172580
528,1146240
529,1164480
530,1149360
531,1126620
532,1079160
533,1059480
534,1098360
535,1150920
536,1127220
537,1095000
538,1155300
539,1138200
540,1077540
541,1108020
542,1157880
543,1171800
544,1128660
545,1198740
546,1203840
547,1189800
548,1143000
549,1149720
550,1214760
551,1202340
552,1195320
553,1207860
554,1211640
555,1208040
556,1216500
557,1210320
558,1212720
559,1238040
560,1223700
561,1225860
562,1213320
563,1182960
564,1201080
565,1221780
566,1216800
567,1222620
568,1213200
569,1219680
570,1198380
571,1198320
572,1202040
573,1213020
574,1227300
575,1200240
576,1210560
577,1198020
578,1105560
579,1195140
580,1218900
581,1212300
582,1214100
583,1210440
584,1220880
585,1210800
586,1191660
587,1205280
588,1216260
589,1212360
590,1217640
591,1207200
592,1207380
593,1210140
594,1212360
595,1218120
596,1219140
597,1214040
598,1202640
599,1225680
600,1209300
601,1202880
602,1216920
603,1211580
604,1212240
605,1214760
606,1205940
607,1205940
608,1199820
609,1230300
610,1204680
611,1197900
612,1216620
613,1217580
614,1210380
615,1227900
616,1220460
617,1212540
618,1214280
619,1216860
620,1223220
621,1207800
622,1204200
623,1216500
624,1215240
625,1212240
626,1218120
627,1214280
628,1222740
629,1214880
630,1215960
631,1218360
632,1211580
633,1206240
634,1218360
635,1216740
636,1198680
637,1200600
638,1206000
639,1227600
640,1215600
641,1206840
642,1214460
643,1212240
644,1199340
645,1226580
646,1216140
647,1199280
648,1213920
649,1206480
650,1214580
651,1192080
652,1216020
653,1209240
654,1211760
655,1220760
656,1194720
657,1213200
658,1200540
659,1197120
660,1216020
661,1211340
662,1211400
663,1201980
664,1218900
665,1201860
666,1197720
667,1189020
668,1207920
669,1215780
670,1210440
671,1207140
672,1197120
673,1216140
674,1207920
675,1225380
676,1203240
677,1211820
678,1203600
679,1189680
680,1208940
681,1206960
682,1214460
683,1209060
684,1202520
685,1215000
686,1223100
687,1211820
688,1198800
689,1200180
690,1204080
691,1211700
692,1210260
693,1211520
694,1210740
695,1219020
696,1201980
697,1181940
698,1219920
699,1211400
700,1213680
701,1213800
702,1201980
703,1222380
704,1202760
705,1218360
706,1214160
707,1207740
708,1204020
709,1201260
710,1199040
711,1207380
712,1206780
713,1193880
714,1194240
715,1213860
716,1214400
717,1205760
718,1212060
719,1207320
720,1199940
721,1198620
722,1175100
723,1210560
724,1204020
725,1192980
726,1215180
727,1222200
728,1211820
729,1213080
730,1216140
731,1205400
732,1213740
733,1218480
734,1224780
735,1165320
736,1171920
737,1211280
738,1213860
739,1204020
740,1200840
741,1193700
742,1182000
743,1191420
744,1200720
745,1207740
746,1168980
747,1186200
748,1184160
749,1127220
750,1116060
751,1158360
752,1175040
753,1200180
754,1208940
755,1166520
756,1154160
757,1191300
758,1184160
759,1187400
760,1165860
761,1155840
762,1132620
763,1154940
764,1082280
765,1128900
766,1168320
767,1135800
768,1127340
