second,tpm
0,0
1,2520
2,17820
3,38160
4,54780
5,85680
6,107220
7,134640
8,162120
9,182400
10,214080
11,242340
12,268440
13,305280
14,342780
15,369660
16,398220
17,408360
18,369180
19,346380
20,345240
21,359100
22,366420
23,369060
24,378720
25,378840
26,375120
27,388380
28,372780
29,362700
30,381060
31,396420
32,371820
33,391080
34,397800
35,392040
36,400380
37,371520
38,349200
39,295800
40,283800
41,288480
42,303480
43,329220
44,342600
45,322920
46,320760
47,315240
48,307020
49,340500
50,359220
51,384480
52,391920
53,391200
54,416520
55,414240
56,416640
57,401040
58,384960
59,393720
60,405000
61,404880
62,386760
63,401700
64,390000
65,387660
66,382800
67,387120
68,372720
69,334440
70,336600
71,310500
72,311160
73,303540
74,303120
75,291060
76,324240
77,316200
78,322200
79,301440
80,325740
81,296340
82,291180
83,260640
84,281040
85,306000
86,328200
87,346860
88,352980
89,375840
90,405960
91,403020
92,406680
93,381720
94,390840
95,396420
96,357360
97,377820
98,371760
99,384720
100,378180
101,333780
102,359880
103,382740
104,369660
105,373560
106,358320
107,378060
108,361560
109,347040
110,369000
111,368460
112,389040
113,385560
114,370380
115,372720
116,362640
117,393780
118,390300
119,400620
120,391020
121,376560
122,397980
123,375840
124,374280
125,381900
126,375420
127,366600
128,388980
129,353220
130,362580
131,370800
132,365460
133,362160
134,378060
135,361500
136,372960
137,371340
138,369240
139,354720
140,375300
141,374580
142,363300
143,347820
144,365280
145,364200
146,374940
147,360900
148,345300
149,355260
150,355620
151,342540
152,337140
153,337440
154,349920
155,337440
156,324600
157,342300
158,340140
159,347340
160,343320
161,321120
162,341280
163,352860
164,325560
165,337980
166,342780
167,354180
168,348840
169,322500
170,341700
171,337380
172,347280
173,315840
174,335880
175,345660
176,335460
177,328080
178,340200
179,349680
180,347760
181,316920
182,349200
183,345900
184,341040
185,335100
186,317760
187,345780
188,342660
189,334860
190,341460
191,353040
192,331860
193,341280
194,329400
195,344760
196,349380
197,339960
198,320100
199,362280
200,355680
201,352260
202,320040
203,319500
204,335940
205,351060
206,341760
207,340020
208,328020
209,333720
210,331560
211,315720
212,317520
213,320580
214,311340
215,267300
216,292140
217,320880
218,293220
219,292140
220,274140
221,269280
222,280500
223,277620
224,286740
225,261240
226,204420
227,249780
228,258540
229,286500
230,302580
231,287580
232,326160
233,321420
234,302220
235,259980
236,256500
237,264060
238,275100
239,272700
240,281520
241,281400
242,288240
243,304680
244,292320
245,301860
246,317580
247,352860
248,400680
249,387600
250,379080
251,392700
252,376080
253,371220
254,371460
255,391440
256,390360
257,400380
258,388260
259,385020
260,373740
261,385620
262,384660
263,384000
264,377220
265,388260
266,381060
267,351720
268,355380
269,352620
270,340320
271,296880
272,296280
273,307080
274,301500
275,277560
276,317520
277,310320
278,321180
279,328020
280,327300
281,332400
282,329100
283,327780
284,322380
285,316140
286,324840
287,351480
288,375180
289,347760
290,363660
291,356880
292,378360
293,367500
294,378900
295,364800
296,365880
297,346320
298,361860
299,381900
300,373920
301,368940
302,361740
303,368460
304,363900
305,348300
306,381240
307,381240
308,362520
309,375900
310,377040
311,374160
312,351960
313,368820
314,373140
315,379440
316,376140
317,371220
318,375960
319,375180
320,360180
321,363840
322,375660
323,374820
324,371280
325,368160
326,372360
327,370320
328,343680
329,358440
330,369900
331,350400
332,346920
333,359760
334,359940
335,351780
336,340260
337,368460
338,383880
339,349380
340,371760
341,367380
342,354060
343,329760
344,354240
