second,tpm
0,0
1,2160
2,16800
3,34740
4,50580
5,72480
6,99840
7,121320
8,145380
9,168600
10,192000
11,218100
12,244500
13,277920
14,307440
15,332880
16,345120
17,367800
18,405600
19,429600
20,440880
21,441900
22,462000
23,484320
24,512880
25,544500
26,554340
27,567120
28,587640
29,602100
30,614640
31,645000
32,658800
33,664380
34,689880
35,709920
36,711480
37,734040
38,752820
39,750660
40,803400
41,815820
42,831300
43,852240
44,859320
45,866280
46,862260
47,881940
48,873840
49,876900
50,887460
51,826080
52,828000
53,825360
54,804540
55,824760
56,840240
57,828420
58,853020
59,816420
60,840540
61,853020
62,835320
63,812640
64,805560
65,830820
66,810600
67,836760
68,869160
69,835380
70,838320
71,884220
72,857700
73,810420
74,867360
75,844800
76,824880
77,780540
78,842160
79,827700
80,832380
81,818820
82,749220
83,727320
84,794940
85,815820
86,786000
87,818220
88,788580
89,796260
90,759300
91,793860
92,750120
93,763560
94,770880
95,751620
96,771540
97,827520
98,903900
99,905820
100,855720
101,866700
102,827520
103,790620
104,789540
105,825960
106,840960
107,855420
108,821580
109,900900
110,935340
111,887100
112,900180
113,793620
114,786000
115,819480
116,827760
117,832200
118,828900
119,799380
120,753780
121,722700
122,768900
123,762420
124,779220
125,793860
126,774660
127,761340
128,763260
129,773460
130,809340
131,787500
132,776760
133,811020
134,787380
135,815040
136,819060
137,824760
138,788160
139,785220
140,745620
141,745200
142,776700
143,825540
144,814200
145,800100
146,804420
147,888660
148,843780
149,820020
150,780420
151,792780
152,809520
153,783000
154,824040
155,851400
156,929100
157,917580
158,950460
159,999120
160,979320
161,937140
162,950520
163,948000
164,843720
165,887220
166,870960
167,872520
168,829920
169,841380
170,828960
171,840240
172,821040
173,866700
174,741360
175,787980
176,811320
177,826260
178,814980
179,832200
180,849120
181,793320
182,805920
183,790860
184,852840
185,714660
186,703140
187,669000
188,694980
189,710100
190,679140
191,671640
192,781860
193,811320
194,814740
195,805200
196,803700
197,799560
198,780840
199,790260
200,790740
201,779220
202,773460
203,762720
204,730860
205,747360
206,750360
207,736680
208,719340
209,735120
210,667080
211,697380
212,673440
213,703380
214,730560
215,706440
216,771360
217,823140
218,845940
219,871620
220,868080
221,862980
222,897360
223,874320
224,869160
225,939660
226,787920
227,829380
228,888960
229,836220
230,950640
231,957120
232,961440
233,962220
234,956880
235,985980
236,883200
237,870600
238,926340
239,942900
240,961380
241,878160
242,880800
243,967380
244,969840
245,930840
246,957840
247,926580
248,920640
249,959220
250,968160
251,967320
252,885480
253,901680
254,890160
255,928860
256,908760
257,887940
258,886500
259,870060
260,839100
261,941580
262,882360
263,870300
264,909600
265,907500
266,890520
267,867840
268,761340
269,828420
270,791640
271,807780
272,802680
