elapsed_sec,sum_next_o_id,orders_delta,nopm_rate
0,30010000,0,0
1,30010000,0,0.0
2,30010092,92,5520.0
3,30010351,259,15540.0
4,30010750,399,23940.0
5,30011301,551,33060.0
6,30011950,649,38940.0
7,30012773,823,49380.0
8,30013739,966,57960.0
9,30014834,1095,65700.0
10,30016040,1206,72360.0
11,30017421,1381,82860.0
12,30018881,1460,87600.0
13,30020396,1515,90900.0
14,30022101,1705,102300.0
15,30023896,1795,107700.0
16,30025757,1861,111660.0
18,30027791,2034,61020.0
19,30029890,2099,125940.0
20,30032075,2185,131100.0
21,30034329,2254,135240.0
22,30036681,2352,141120.0
23,30039173,2492,149520.0
24,30041712,2539,152340.0
25,30044409,2697,161820.0
26,30047165,2756,165360.0
27,30049938,2773,166380.0
28,30052842,2904,174240.0
29,30055865,3023,181380.0
30,30059026,3161,189660.0
31,30062276,3250,195000.0
32,30065565,3289,197340.0
33,30068966,3401,204060.0
34,30072428,3462,207720.0
35,30075859,3431,205860.0
36,30079446,3587,215220.0
37,30083012,3566,213960.0
38,30086565,3553,213180.0
39,30090123,3558,213480.0
40,30093664,3541,212460.0
41,30097180,3516,210960.0
42,30100870,3690,221400.0
43,30104556,3686,221160.0
44,30108286,3730,223800.0
45,30112094,3808,228480.0
46,30115908,3814,228840.0
47,30119789,3881,232860.0
48,30123682,3893,233580.0
49,30127635,3953,237180.0
51,30131637,4002,120060.0
52,30135642,4005,240300.0
53,30139727,4085,245100.0
54,30143778,4051,243060.0
55,30147893,4115,246900.0
56,30151969,4076,244560.0
57,30156059,4090,245400.0
58,30160161,4102,246120.0
59,30164320,4159,249540.0
60,30168482,4162,249720.0
61,30172758,4276,256560.0
62,30177027,4269,256140.0
63,30181325,4298,257880.0
64,30185367,4042,242520.0
65,30189422,4055,243300.0
66,30193443,4021,241260.0
67,30197563,4120,247200.0
68,30201611,4048,242880.0
69,30205742,4131,247860.0
70,30209796,4054,243240.0
71,30213886,4090,245400.0
72,30218011,4125,247500.0
73,30222204,4193,251580.0
74,30226360,4156,249360.0
75,30230529,4169,250140.0
76,30234752,4223,253380.0
77,30238937,4185,251100.0
79,30243071,4134,124020.0
80,30247235,4164,249840.0
81,30251444,4209,252540.0
82,30255694,4250,255000.0
83,30259906,4212,252720.0
84,30264231,4325,259500.0
85,30268463,4232,253920.0
86,30272782,4319,259140.0
87,30277067,4285,257100.0
88,30281383,4316,258960.0
89,30285647,4264,255840.0
90,30289894,4247,254820.0
91,30294173,4279,256740.0
92,30298451,4278,256680.0
93,30302813,4362,261720.0
94,30307143,4330,259800.0
95,30311435,4292,257520.0
96,30315807,4372,262320.0
97,30320079,4272,256320.0
98,30324396,4317,259020.0
99,30328725,4329,259740.0
100,30333064,4339,260340.0
101,30337427,4363,261780.0
102,30341757,4330,259800.0
103,30346059,4302,258120.0
104,30350378,4319,259140.0
106,30354761,4383,131490.0
107,30359156,4395,263700.0
108,30363527,4371,262260.0
109,30367846,4319,259140.0
110,30372190,4344,260640.0
111,30376578,4388,263280.0
112,30380952,4374,262440.0
113,30385422,4470,268200.0
114,30389829,4407,264420.0
115,30394237,4408,264480.0
116,30398642,4405,264300.0
117,30403003,4361,261660.0
118,30407481,4478,268680.0
119,30411812,4331,259860.0
120,30416181,4369,262140.0
121,30420600,4419,265140.0
122,30425030,4430,265800.0
123,30429484,4454,267240.0
124,30433821,4337,260220.0
125,30438201,4380,262800.0
126,30442685,4484,269040.0
127,30447135,4450,267000.0
128,30451569,4434,266040.0
129,30455951,4382,262920.0
130,30460394,4443,266580.0
132,30464826,4432,132960.0
133,30469265,4439,266340.0
134,30473720,4455,267300.0
135,30478155,4435,266100.0
136,30482545,4390,263400.0
137,30487018,4473,268380.0
138,30491525,4507,270420.0
139,30495926,4401,264060.0
140,30500395,4469,268140.0
141,30504798,4403,264180.0
142,30509328,4530,271800.0
143,30513772,4444,266640.0
144,30518208,4436,266160.0
145,30522731,4523,271380.0
146,30527256,4525,271500.0
147,30531701,4445,266700.0
148,30536151,4450,267000.0
149,30540581,4430,265800.0
150,30545146,4565,273900.0
151,30549682,4536,272160.0
152,30554159,4477,268620.0
153,30558641,4482,268920.0
154,30563132,4491,269460.0
155,30567608,4476,268560.0
156,30572125,4517,271020.0
157,30576604,4479,268740.0
159,30581078,4474,134220.0
160,30585569,4491,269460.0
161,30590090,4521,271260.0
