Variable_name	Value
Aborted_clients	0
Aborted_connects	0
Acl_cache_items_count	0
Binlog_cache_disk_use	0
Binlog_cache_use	17923131
Binlog_stmt_cache_disk_use	0
Binlog_stmt_cache_use	0
Bytes_received	8771594152
Bytes_sent	15467797327
Caching_sha2_password_rsa_public_key	-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAqcliJZ06L/wagdEXo6tC\npmX75CLg8UsKKjfBajxa1T3BJxBkafxMOfIKt7rOp15gJ7FEEiTAzNKYa8Sd5F6N\nMp3/+eOrvYGWigDwT7rQOoQHYt+j3NIdPK3+b3NJ1o13kWzVtBLrj4NtYcFQqo5D\nGGHDXB8BrjYGySNubinDs7bdw/Mhp/ycwSflL80ELfZXyxoSwzSYwMcK+Dw+CIQL\ndye9it4Pf6C0VFrwcP2O/a3NUq3sS3YsN2xn34eY6huOTd5VEJ5EwlvBw7hEXoVi\nnIpHO0Z83jzvc/41CoGGLENPvUv6MBFMHLVHxtMo/OHrhB82JwD3MayEBVNtD7rD\ndQIDAQAB\n-----END PUBLIC KEY-----\n
Com_admin_commands	1
Com_assign_to_keycache	0
Com_alter_db	1
Com_alter_event	0
Com_alter_function	0
Com_alter_instance	0
Com_alter_library	0
Com_alter_procedure	0
Com_alter_resource_group	0
Com_alter_server	0
Com_alter_table	244
Com_alter_tablespace	0
Com_alter_user	0
Com_alter_user_default_role	0
Com_analyze	0
Com_begin	19633725
Com_binlog	0
Com_call_procedure	19633722
Com_change_db	88
Com_change_repl_filter	0
Com_change_replication_source	0
Com_check	2
Com_checksum	0
Com_clone	0
Com_commit	19547221
Com_create_db	5
Com_create_event	0
Com_create_function	22
Com_create_index	0
Com_create_library	0
Com_create_masking_policy	0
Com_create_procedure	31
Com_create_role	0
Com_create_server	0
Com_create_table	227
Com_create_resource_group	0
Com_create_trigger	2
Com_create_udf	0
Com_create_user	0
Com_create_view	150
Com_create_spatial_reference_system	0
Com_dealloc_sql	76
Com_delete	8534682
Com_delete_multi	0
Com_do	0
Com_drop_db	2
Com_drop_event	0
Com_drop_function	23
Com_drop_index	0
Com_drop_library	0
Com_drop_masking_policy	0
Com_drop_procedure	41
Com_drop_resource_group	0
Com_drop_role	0
Com_drop_server	0
Com_drop_spatial_reference_system	0
Com_drop_table	113
Com_drop_trigger	2
Com_drop_user	0
Com_drop_view	0
Com_empty_query	0
Com_execute_sql	76
Com_explain_other	0
Com_flush	3
Com_get_diagnostics	0
Com_grant	0
Com_grant_roles	0
Com_ha_close	0
Com_ha_open	0
Com_ha_read	0
Com_help	0
Com_import	0
Com_insert	110683841
Com_insert_select	48
Com_install_component	0
Com_install_plugin	0
Com_kill	0
Com_load	0
Com_lock_instance	0
Com_lock_tables	0
Com_optimize	0
Com_preload_keys	0
Com_prepare_sql	76
Com_purge	0
Com_purge_before_date	0
Com_release_savepoint	0
Com_rename_table	0
Com_rename_user	0
Com_repair	0
Com_replace	5237
Com_replace_select	0
Com_reset	0
Com_resignal	0
Com_restart	0
Com_revoke	0
Com_revoke_all	0
Com_revoke_roles	0
Com_rollback	86542
Com_rollback_to_savepoint	0
Com_savepoint	0
Com_select	271814775
Com_set_option	17923956
Com_set_password	0
Com_set_resource_group	0
Com_set_role	0
Com_signal	0
Com_show_binlog_events	0
Com_show_binlogs	0
Com_show_charsets	0
Com_show_collations	0
Com_show_create_db	0
Com_show_create_event	0
Com_show_create_func	0
Com_show_create_library	0
Com_show_create_masking_policy	0
Com_show_create_proc	0
Com_show_create_table	0
Com_show_create_trigger	0
Com_show_databases	0
Com_show_engine_logs	0
Com_show_engine_mutex	0
Com_show_engine_status	0
Com_show_events	0
Com_show_errors	0
Com_show_fields	0
Com_show_function_code	0
Com_show_function_status	0
Com_show_grants	0
Com_show_keys	0
Com_show_library_status	0
Com_show_binary_log_status	0
Com_show_open_tables	0
Com_show_parse_tree	0
Com_show_plugins	0
Com_show_privileges	0
Com_show_procedure_code	0
Com_show_procedure_status	0
Com_show_processlist	0
Com_show_profile	0
Com_show_profiles	0
Com_show_relaylog_events	0
Com_show_replicas	0
Com_show_replica_status	0
Com_show_status	8067
Com_show_storage_engines	0
Com_show_table_status	0
Com_show_tables	0
Com_show_triggers	0
Com_show_variables	3
Com_show_warnings	3
Com_show_create_user	0
Com_shutdown	0
Com_replica_start	0
Com_replica_stop	0
Com_group_replication_start	0
Com_group_replication_stop	0
Com_stmt_execute	76
Com_stmt_close	76
Com_stmt_fetch	0
Com_stmt_prepare	76
Com_stmt_reset	0
Com_stmt_send_long_data	0
Com_truncate	4
Com_uninstall_component	0
Com_uninstall_plugin	0
Com_unlock_instance	0
Com_unlock_tables	0
Com_update	144990961
Com_update_multi	1
Com_xa_commit	0
Com_xa_end	0
Com_xa_prepare	0
Com_xa_recover	0
Com_xa_rollback	0
Com_xa_start	0
Com_stmt_reprepare	0
Connection_errors_accept	0
Connection_errors_internal	0
Connection_errors_max_connections	0
Connection_errors_peer_address	0
Connection_errors_select	0
Connection_errors_tcpwrap	0
Connections	3869
Count_hit_query_past_connection_memory_status_limit	0
Count_hit_query_past_global_connection_memory_status_limit	0
Count_hit_tmp_table_size	0
Created_tmp_disk_tables	34
Created_tmp_files	28
Created_tmp_tables	7351067
Current_tls_ca	ca.pem
Current_tls_capath	
Current_tls_cert	server-cert.pem
Current_tls_cipher	
Current_tls_ciphersuites	
Current_tls_crl	
Current_tls_crlpath	
Current_tls_key	server-key.pem
Current_tls_version	TLSv1.2,TLSv1.3
Delayed_errors	0
Delayed_insert_threads	0
Delayed_writes	0
Deprecated_use_fk_on_non_standard_key_count	0
Deprecated_use_fk_on_non_standard_key_last_timestamp	0
Deprecated_use_i_s_processlist_count	0
Deprecated_use_i_s_processlist_last_timestamp	0
Error_log_buffered_bytes	20512
Error_log_buffered_events	96
Error_log_expired_events	0
Error_log_latest_write	1777482273293476
Flush_commands	6
Global_connection_memory	0
Handler_commit	819137992
Handler_delete	8554147
Handler_discover	0
Handler_external_lock	1053477595
Handler_mrr_init	0
Handler_prepare	547593494
Handler_read_first	239
Handler_read_key	586232046
Handler_read_last	80
Handler_read_next	486361083
Handler_read_prev	0
Handler_read_rnd	38
Handler_read_rnd_next	47665251
