elapsed_sec,sum_next_o_id,orders_delta,nopm_rate
206,30776661,4377,262620.0
207,30781077,4416,264960.0
208,30785473,4396,263760.0
209,30789894,4421,265260.0
210,30794340,4446,266760.0
211,30798760,4420,265200.0
212,30803175,4415,264900.0
213,30807572,4397,263820.0
214,30811977,4405,264300.0
215,30816353,4376,262560.0
216,30820705,4352,261120.0
217,30825052,4347,260820.0
218,30829440,4388,263280.0
219,30833825,4385,263100.0
220,30838213,4388,263280.0
221,30842591,4378,262680.0
222,30847020,4429,265740.0
223,30851458,4438,266280.0
224,30855899,4441,266460.0
225,30860314,4415,264900.0
226,30864731,4417,265020.0
228,30869083,4352,130560.0
229,30873512,4429,265740.0
230,30877955,4443,266580.0
231,30882337,4382,262920.0
232,30886674,4337,260220.0
233,30891108,4434,266040.0
234,30895510,4402,264120.0
235,30899940,4430,265800.0
236,30904321,4381,262860.0
237,30908695,4374,262440.0
238,30912828,4133,247980.0
239,30916946,4118,247080.0
240,30921071,4125,247500.0
241,30925205,4134,248040.0
242,30929396,4191,251460.0
243,30933580,4184,251040.0
244,30937859,4279,256740.0
245,30942227,4368,262080.0
247,30946519,4292,128760.0
248,30950916,4397,263820.0
249,30955280,4364,261840.0
250,30959664,4384,263040.0
251,30964143,4479,268740.0
252,30968567,4424,265440.0
253,30972998,4431,265860.0
254,30977334,4336,260160.0
255,30981744,4410,264600.0
256,30986165,4421,265260.0
257,30990684,4519,271140.0
259,30995130,4446,133380.0
260,30999635,4505,270300.0
261,31004030,4395,263700.0
262,31008481,4451,267060.0
263,31012864,4383,262980.0
264,31017264,4400,264000.0
265,31021734,4470,268200.0
266,31025778,4044,242640.0
267,31030073,4295,257700.0
268,31034506,4433,265980.0
269,31038873,4367,262020.0
271,31043336,4463,133890.0
272,31047776,4440,266400.0
273,31052225,4449,266940.0
274,31056685,4460,267600.0
275,31061122,4437,266220.0
276,31065598,4476,268560.0
277,31070112,4514,270840.0
278,31074652,4540,272400.0
279,31079156,4504,270240.0
280,31083586,4430,265800.0
281,31088072,4486,269160.0
283,31092588,4516,135480.0
284,31097066,4478,268680.0
285,31101513,4447,266820.0
286,31105934,4421,265260.0
287,31110206,4272,256320.0
288,31114537,4331,259860.0
289,31118907,4370,262200.0
290,31123300,4393,263580.0
291,31127808,4508,270480.0
292,31132290,4482,268920.0
293,31136784,4494,269640.0
294,31141206,4422,265320.0
296,31145603,4397,131910.0
297,31150195,4592,275520.0
298,31154738,4543,272580.0
299,31159317,4579,274740.0
300,31163765,4448,266880.0
301,31168142,4377,262620.0
302,31172628,4486,269160.0
303,31177151,4523,271380.0
304,31181608,4457,267420.0
305,31186089,4481,268860.0
306,31190565,4476,268560.0
308,31195102,4537,136110.0
309,31199657,4555,273300.0
310,31204147,4490,269400.0
311,31208659,4512,270720.0
312,31213111,4452,267120.0
