second,tpm
639,571500
640,511980
641,539040
642,487500
643,487860
644,523740
645,521820
646,502920
647,515580
648,487320
649,517200
650,500100
651,499980
652,483660
653,522060
654,515940
655,520800
656,508380
657,518100
658,491700
659,526140
660,489420
661,496860
662,518880
663,506700
664,516420
665,494760
666,461100
667,516600
668,507660
669,499260
670,520740
671,488340
672,514020
673,521460
674,506640
675,512460
676,498600
677,545460
678,501900
679,541740
680,529140
681,526500
682,515580
683,506820
684,496980
685,494880
686,504360
687,486660
688,485100
689,467040
690,498000
691,540960
692,565380
693,558300
694,544620
695,560640
696,560580
697,551700
698,562680
699,544860
700,551400
701,573780
702,557220
703,560820
704,555900
705,567000
706,576780
707,589500
708,594720
709,570300
710,594060
711,569220
712,575700
713,589980
714,597120
715,586200
716,596700
717,583680
718,608340
719,594960
720,577560
721,597720
722,589680
723,572820
724,567600
725,600660
726,600780
727,568200
728,590160
729,589080
730,611040
731,578340
732,566100
733,588240
734,588840
735,577740
736,598980
737,594600
738,588060
739,570240
740,584820
741,605520
742,604140
743,584880
744,595800
745,590160
746,591840
747,573900
748,586740
749,604560
750,583980
751,590160
752,581100
753,594120
754,600420
755,585960
756,587220
757,586560
758,571680
759,590700
760,585240
761,603720
762,557160
763,604020
764,589320
765,586020
766,562020
767,611460
768,604320
769,601380
770,588900
771,591480
772,598560
773,588120
774,571380
775,597900
776,592080
777,595200
778,556560
779,603180
780,582900
781,590460
782,575880
783,597000
784,607440
785,585240
786,583380
787,602760
788,570300
789,563640
790,548340
791,545940
792,581160
793,533160
794,538560
795,557280
796,564840
797,548520
798,542160
799,583860
800,535200
801,541260
802,556200
803,551880
804,563280
805,539340
806,533460
807,554040
808,547080
809,581580
810,508200
811,567420
812,575040
813,571260
814,566820
815,548040
816,555180
817,532140
818,559080
819,557460
820,534540
821,526020
822,525000
823,513180
824,525420
825,529020
826,556200
827,510120
828,523500
829,566220
830,516060
831,536160
832,494760
833,555240
834,562380
835,534540
836,558660
837,561480
838,556440
839,546060
840,569160
841,578280
842,553620
843,533280
844,572400
845,547260
846,582480
847,555660
848,572460
849,569880
850,567240
851,530940
852,541080
853,577440
854,566640
855,547680
856,580440
857,553920
858,552900
859,560340
860,558660
861,582480
862,569040
863,543780
864,568860
865,561660
866,582180
867,551640
868,572280
869,575040
870,595140
871,560880
872,549720
873,530820
874,505560
875,544380
876,538740
877,537420
878,549660
879,571620
880,508440
881,491340
882,528480
883,531180
884,525660
885,522840
886,547380
887,531000
888,551820
889,512880
890,525720
891,521400
892,563940
893,585060
894,619320
895,590700
896,585540
897,587100
898,587460
899,599460
900,567120
901,594360
902,601620
903,567360
904,589860
905,608580
906,571200
907,583020
908,569400
909,612600
910,592920
911,592080
912,598980
913,585600
914,586260
915,580980
916,587400
917,582420
918,575340
919,593040
920,580560
921,561180
922,597660
923,569160
924,573840
925,587220
926,597060
927,578400
928,605160
929,579420
930,586200
931,566940
932,585840
933,602220
934,581280
935,590640
936,580380
937,588480
938,573000
939,572400
940,584760
941,591660
942,585000
943,599760
944,587580
945,588960
946,579120
947,570060
948,595080
949,570360
950,606780
951,591840
952,576660
953,590220
954,584340
955,593100
956,614220
957,584100
958,587520
959,612960
960,586560
961,583020
962,569160
963,577380
964,590520
965,588060
966,594060
967,574800
968,586320
969,569880
970,582840
971,594840
972,584220
973,576060
974,590820
975,568020
976,591360
977,585360
978,582180
979,582720
980,596940
981,593100
982,559860
983,478980
984,524820
985,467820
986,466920
987,472560
988,410880
989,472920
990,487080
991,417240
992,455100
993,398520
994,403860
995,324120
996,431640
997,382200
998,412440
999,467940
1000,527040
1001,515760
1002,531900
1003,505620
1004,517620
1005,511020
1006,537840
1007,511800
1008,526140
1009,532920
1010,554880
1011,528240
1012,517080
1013,540660
1014,530100
1015,576420
1016,523380
1017,557100
1018,572940
1019,543420
1020,518580
1021,522600
1022,559860
1023,567240
1024,542520
1025,512580
1026,570960
1027,530340
1028,553500
1029,526920
1030,525240
