second,tpm
0,0
1,2820
2,17340
3,29700
4,44760
5,55500
6,66480
7,81960
8,98760
9,126660
10,148860
11,162120
12,175560
13,190020
14,208320
15,218700
16,228480
17,240780
18,250020
19,262320
20,259860
21,278520
22,274080
23,281940
24,298140
25,312540
26,314760
27,317220
28,327900
29,324300
30,334140
31,337020
32,337500
33,313860
34,347400
35,346020
36,351960
37,344340
38,351120
39,354360
40,364200
41,364500
42,366060
43,372960
44,376380
45,376560
46,387540
47,384900
48,385320
49,393120
50,387900
51,340320
52,396060
53,389160
54,395100
55,396240
56,393600
57,398880
58,403200
59,404640
60,404760
61,403380
62,410040
63,408660
64,412860
65,415080
66,422520
67,418440
68,424680
69,427620
70,426120
71,431880
72,426300
73,443040
74,438780
75,439860
76,431400
77,437940
78,436800
79,431220
80,419040
81,419340
82,429420
83,422400
84,427740
85,429480
86,424380
87,421740
88,424260
89,424560
90,430380
91,428760
92,442260
93,426120
94,445740
95,454200
96,453960
97,445080
98,461580
99,461880
100,474300
101,456360
102,470460
103,469860
104,453960
105,462120
106,468540
107,463020
108,465720
109,467400
110,466200
111,458880
112,465120
113,463800
114,457020
115,466560
116,462000
117,450300
118,462540
119,470400
120,467160
121,473340
122,482400
123,480900
124,486960
125,501780
126,505740
127,488280
128,493620
129,484800
130,490620
131,490140
132,498360
133,481860
134,491040
135,481260
136,490020
137,490200
138,481020
139,479640
140,464400
141,468480
142,497040
143,502020
144,498420
145,504180
146,508740
147,498300
148,506520
149,512820
150,518460
151,515880
152,509220
153,516120
154,517260
155,507540
156,512400
157,509520
158,512040
159,514980
160,502200
161,502200
162,504300
163,508860
164,505380
165,514320
166,508740
167,500100
168,502740
169,509220
170,503940
171,518460
172,518100
173,508620
174,501180
175,508080
176,522360
177,526620
178,526560
179,530040
180,533880
181,530700
182,534600
183,537780
184,540240
185,537540
186,521460
187,532260
188,539580
189,524580
190,531900
191,529980
192,530700
193,539520
194,538860
195,537960
196,549120
197,528300
198,550020
199,521880
200,536880
201,536340
202,544200
203,540720
204,525120
205,538560
206,531480
207,543900
208,547560
209,536760
210,542640
211,534540
212,539520
213,536940
214,547560
215,534000
216,548820
217,540780
218,546000
219,546060
220,553320
221,546180
222,558540
223,545400
224,537240
225,547860
226,546840
227,553440
228,545100
229,552420
230,542340
231,547080
232,541800
233,536520
234,552000
235,537600
236,549840
237,532320
238,539040
239,558840
240,544920
241,555840
242,553320
243,541260
244,541020
245,541080
246,542760
247,543780
248,537360
249,552180
250,544080
251,544620
252,543540
253,546420
254,558180
255,549840
256,535200
257,550260
258,544260
259,538080
260,538320
261,553200
262,538680
263,523500
264,557280
265,545460
266,550980
267,538020
268,539220
269,547560
270,539340
271,541140
272,549000
273,540180
274,554700
275,548100
276,551100
277,536880
278,528420
279,546960
280,545940
281,534060
282,535320
283,544020
284,528900
285,544440
286,540000
287,552600
288,559740
289,560520
290,548580
291,557700
292,554760
293,541920
294,550440
295,557400
296,555660
297,561360
298,557520
299,550620
300,566340
301,561600
302,541200
303,556320
304,548520
305,554520
306,556080
307,552600
308,555540
309,540960
310,538020
311,569580
312,560580
313,568080
314,563100
315,549540
316,558720
317,570120
318,571620
319,562980
320,560280
321,563700
322,565260
323,561900
324,573000
325,546120
326,554520
327,546900
328,557820
329,559200
330,557400
331,567060
332,545940
333,561660
334,560400
335,563760
336,561720
337,560400
338,542820
339,552660
340,534720
341,532560
342,548220
343,550080
344,567660
345,569760
346,566820
347,555600
348,560280
349,570300
350,577920
351,564360
352,553380
353,565200
354,557520
355,543360
356,533700
357,553920
358,557640
359,556500
360,566700
361,568980
362,564060
363,562320
364,573960
365,568680
366,572460
367,563700
368,552840
369,548220
370,561180
371,533280
372,529020
373,546960
374,555960
375,559740
376,560460
377,557160
378,563520
379,545280
380,555300
381,568140
382,561240
383,563280
384,564780
385,559560
386,559620
387,558600
388,522000
389,564180
390,578340
391,576300
392,570060
393,578040
394,567420
395,561360
396,558480
397,558180
398,561480
399,556200
400,566280
401,550140
402,547680
403,545280
404,526080
405,527280
406,557100
407,580140
408,574020
409,567720
410,570720
411,567600
412,565620
413,548460
414,557820
415,570780
416,585300
417,567300
418,560880
419,552720
420,536700
421,538680
422,544680
423,568740
424,577260
425,561300
426,551160
427,554220
428,564720
429,552960
430,563460
431,562200
432,557040
433,567600
434,549660
435,554640
436,556140
437,565200
438,557220
439,568140
440,559080
441,590580
442,565620
443,548640
444,541980
445,549900
446,562140
447,560040
448,581160
449,567840
450,567660
451,560940
452,554520
453,527340
454,533160
455,556860
456,552480
457,568080
458,564600
459,569700
460,560040
461,557460
462,557700
463,566160
464,568020
465,557340
466,579600
467,547200
468,569040
469,557220
470,535920
471,538680
472,557100
473,558720
474,573360
475,556920
476,570600
477,508860
478,564540
