second,tpm
0,0
1,2100
2,15660
3,25500
4,38400
5,50640
6,58560
7,58680
8,62040
9,68160
10,76920
11,80100
12,81660
13,85620
14,90900
15,95940
16,97920
17,99660
18,104580
19,109320
20,110940
21,117180
22,127440
23,125820
24,124200
25,126360
26,138360
27,136260
28,134820
29,139260
30,141960
31,143100
32,146520
33,149580
34,149820
35,150240
36,153600
37,152940
38,151800
39,154200
40,151980
41,155520
42,145200
43,154080
44,161760
45,162360
46,161760
47,165360
48,162360
49,165840
50,164160
51,160380
52,164940
53,161580
54,160860
55,167940
56,168900
57,179340
58,167220
59,171780
60,169380
61,171900
62,172740
63,168660
64,178680
65,176460
66,177660
67,176820
68,180120
69,176220
70,179340
71,176820
72,181320
73,184200
74,182940
75,180120
76,187140
77,181440
78,182580
79,183720
80,187020
81,186960
82,189960
83,192480
84,191580
85,186060
86,194100
87,198180
88,195780
89,191280
90,193440
91,187140
92,193140
93,193560
94,191820
95,192240
96,195060
97,193920
98,199920
99,193320
100,190440
101,197880
102,201180
103,199500
104,198600
105,195600
106,200100
107,194580
108,198180
109,196980
110,196860
111,197640
112,195720
113,197520
114,197640
115,193740
116,196380
117,198420
118,202200
119,199740
120,198720
121,201240
122,200580
123,201120
124,199200
125,204300
126,201180
127,207180
128,206640
129,201060
130,199020
131,201780
132,201660
133,205560
134,199560
135,201480
136,209400
137,202440
138,203040
139,205020
140,208440
141,209940
142,212160
143,212040
144,213480
145,211860
146,210240
147,215460
148,209700
149,210660
150,212880
151,207900
152,207540
153,209640
154,214560
155,209940
156,209160
157,206640
158,218340
159,212580
160,208140
161,214980
162,208320
163,201120
164,208500
165,207840
166,213000
167,206340
168,207540
169,215100
170,210300
171,203700
172,211680
173,215040
174,219120
175,220800
176,217740
177,213720
178,218280
179,221460
180,222180
181,224700
182,220020
183,223860
184,228600
185,226800
186,228660
187,226920
188,232620
189,224820
190,223620
191,227580
192,223080
193,227340
194,230940
195,232860
196,227820
197,223860
198,229320
199,231060
200,226740
201,229500
202,228240
203,226260
204,232980
205,235320
206,241140
207,230520
208,225300
209,228300
210,230880
211,238080
212,233640
213,229740
214,231300
215,237240
216,231240
217,229680
218,230580
219,230100
220,230880
221,235320
222,232740
223,229920
224,242460
225,237780
226,235980
227,246660
228,238020
229,242400
230,234540
231,243480
232,244560
233,245520
234,243480
235,244500
236,238500
237,243780
238,237900
239,240360
240,242640
241,247740
242,243840
243,242160
244,251400
245,242040
246,244380
247,255120
248,247740
249,243000
250,250260
251,247200
252,248460
253,244800
254,243060
255,250020
256,247680
257,238800
258,250260
259,238800
260,245760
261,248580
262,245760
263,239400
264,243540
265,244080
266,246780
267,247920
268,252180
269,250320
270,255600
271,249240
272,254100
273,249360
274,244200
275,246720
276,253800
277,249420
278,248880
279,249420
280,257400
281,260220
282,255660
283,247080
284,247500
285,246240
286,255480
287,235200
288,234960
289,241440
290,248640
291,247080
292,239040
293,244620
294,251880
295,255000
296,258120
297,245760
298,245940
299,243480
300,240300
301,236580
302,236340
303,237720
304,252600
305,246360
306,251460
307,239820
308,249360
309,250920
310,251340
311,253620
312,239760
313,236040
314,249480
315,245220
316,248460
317,248100
318,259920
319,254940
320,260580
321,260520
322,261060
323,255960
324,251280
325,247620
326,250920
327,252540
328,254700
329,249180
330,257400
331,260940
332,251520
333,259080
334,256320
335,261960
336,262740
337,246240
338,247980
339,251220
340,261120
341,256620
342,251400
343,252480
344,257640
345,252060
346,258420
347,254940
348,253500
349,256680
350,251520
351,257880
352,259620
353,257100
354,257880
355,262260
356,256080
357,253620
358,260340
359,250680
360,252600
361,253500
362,241800
363,245520
364,263040
365,256020
366,250320
367,248280
368,263400
369,254340
370,259260
371,256620
372,257820
373,251280
374,251820
375,254820
376,257280
377,260880
378,255240
379,253920
380,254160
381,256020
382,263640
383,259920
384,258600
385,247740
386,255240
387,261060
388,246000
389,243960
390,249660
391,252960
392,250800
393,246180
394,256320
395,256560
396,258420
397,258900
398,254580
399,251220
400,255000
401,249600
402,254100
403,249900
404,255600
405,255360
406,255240
407,257160
408,252840
409,249960
410,257460
411,246840
412,255960
413,248220
414,245580
415,253920
416,251580
417,249780
418,258480
419,267840
420,267000
421,267180
422,264600
423,262320
424,255660
425,258420
426,248460
427,267540
428,267660
429,269880
430,260340
431,267180
432,263580
433,266580
434,270960
435,259260
436,252420
437,255720
438,259680
439,247500
440,253860
441,258420
442,250860
443,251100
444,256200
445,258000
446,264420
447,261120
448,260580
449,256440
450,267600
451,261420
452,263700
453,262980
454,253920
455,253920
456,258840
457,265860
458,265440
459,257160
460,254640
461,254040
462,256620
463,257220
464,256560
465,258720
466,257640
467,263040
468,261120
469,258240
470,250140
471,267540
472,262980
473,267120
474,262200
475,264060
476,259440
477,264420
478,259200
479,269100
480,262320
481,270000
482,271020
483,269940
484,270600
485,271200
486,266340
487,263040
488,264840
489,261960
490,269400
491,247200
492,254820
493,253980
494,262560
495,251340
496,259440
497,260640
498,267660
499,261360
500,262560
501,261420
502,265560
503,263460
504,262680
505,264120
506,260100
507,262500
508,261060
509,267120
510,261360
511,265620
512,255360
513,259740
514,255180
515,253680
516,253260
517,249480
518,243420
519,251940
520,249000
521,257580
522,254160
523,257160
524,257820
525,259320
526,260700
527,259980
528,267240
529,270480
530,263760
531,250620
532,269100
533,261840
534,259020
535,259320
536,260460
537,266040
538,266880
539,264240
540,265740
541,262680
542,268440
543,258180
544,262140
545,255000
546,261060
547,265440
548,268980
549,252780
550,252540
551,256320
552,258060
553,255720
554,256800
555,257700
556,260700
557,261180
558,259860
559,252180
560,255720
561,248640
562,254160
563,258000
564,260100
565,263040
566,262980
567,264720
568,262860
569,255660
570,263700
571,260460
572,247020
573,255180
574,261000
575,259080
576,262740
577,245520
578,245760
579,252720
580,257160
581,261840
582,257820
583,266820
584,265920
585,264060
586,259620
587,263460
588,268200
589,258720
590,263940
591,261540
592,268380
593,274260
594,269460
595,266040
596,257940
597,262680
598,261900
599,258240
600,259920
601,271260
602,261780
603,264240
604,263520
605,254940
606,248640
607,262560
608,269340
609,270180
610,267360
611,260940
612,259500
613,274380
614,272880
615,270720
616,273600
617,269940
618,272580
619,269760
620,276420
621,273060
622,269640
623,263820
624,274440
625,275460
626,256800
627,264420
628,279000
629,267120
630,269520
631,273780
632,264900
633,264300
634,272160
635,272700
636,274680
637,278700
638,272760
639,272580
640,274140
641,272640
642,267420
643,273600
644,267780
645,277920
646,271800
647,275820
648,268980
649,267240
650,276180
651,269280
652,268620
653,263580
654,265440
655,270840
656,271320
657,273960
658,273360
659,262320
660,261540
661,273900
662,267300
663,274140
664,273720
665,268200
666,268560
667,262800
668,269940
669,273180
670,259200
671,271140
672,267720
673,270720
674,267720
675,271080
676,271440
677,268020
678,270360
679,271260
680,263520
681,257400
682,262140
683,273900
684,265440
685,267480
686,263880
687,252960
688,273300
689,278580
690,274680
691,274020
692,271320
693,271500
694,268680
695,269520
696,258480
697,273420
698,270060
699,272280
700,265680
701,278280
702,274680
703,266640
704,265740
705,274020
706,270780
707,261420
708,249720
709,272340
710,271920
711,272460
712,266220
713,268200
714,258420
715,271140
716,274140
717,275040
718,267240
719,267240
720,268800
721,256140
722,256860
723,264180
724,274740
725,267240
726,261600
727,265320
728,264840
729,273180
730,263940
731,266040
732,262980
733,268500
734,272220
735,260220
736,262800
737,263520
738,269580
739,266100
740,261360
741,262380
742,269160
743,270360
744,263940
745,263040
746,277200
747,269760
748,275880
749,260640
750,270540
751,268080
752,269640
753,266580
754,272520
755,270600
756,263220
757,270900
758,273780
759,270600
760,271560
761,272040
762,280020
763,261660
764,261840
765,272520
766,271200
767,274800
768,257340
769,259200
770,269280
771,274800
772,268020
773,276660
774,270660
775,272160
776,267660
777,266340
778,273420
779,273720
780,266880
781,260100
782,265860
783,267900
784,264780
785,272340
786,266820
787,269160
788,269640
789,263220
790,271980
791,270960
792,263760
793,268320
794,272760
795,265380
796,266520
797,267060
798,273540
799,274980
800,278040
801,277020
802,277800
803,280020
804,272640
805,268500
806,268020
807,269940
808,271980
809,263880
810,261660
811,266220
812,276300
813,275100
814,274680
815,272460
816,267720
817,273720
818,272640
819,269040
820,271380
821,274740
822,271020
823,270180
824,277800
825,261360
826,270900
827,277740
828,275760
829,282960
830,271380
831,274620
832,273660
833,268260
834,272820
835,273720
836,265260
837,270300
838,268680
839,267600
840,267000
841,268260
842,280560
843,267300
844,278340
845,276180
846,269340
847,268320
848,275880
849,280980
850,271260
851,274620
852,277140
853,268860
854,274560
855,273180
856,277680
857,271440
858,276900
859,279000
860,282180
861,280920
862,282660
863,273840
864,278640
865,266760
866,272940
867,268920
868,279600
869,273960
870,278400
871,269400
872,275280
873,268800
874,263220
875,262140
876,271380
877,280680
878,272820
879,276840
880,273660
881,268080
882,266640
883,271860
884,267300
885,268740
886,268200
887,267600
888,268560
889,265860
890,274920
891,269940
892,272700
893,269100
894,269940
895,275400
896,274980
897,276900
898,277980
899,274380
900,274260
901,272880
902,274920
903,261420
904,261480
905,272040
906,274500
907,260400
908,267900
909,274920
910,263340
911,264360
912,272040
913,275880
914,278580
915,280560
916,271980
917,277380
918,276300
919,280920
920,280140
921,274560
922,277740
923,271020
924,277380
925,277980
926,270720
927,274620
928,267420
929,272760
930,275220
931,275100
932,271020
933,267180
934,272820
935,267300
936,268920
937,269760
938,272940
939,272820
940,272880
941,274680
942,273240
943,270240
944,271080
945,270540
946,265500
947,271800
948,273300
949,270180
950,276840
951,276120
952,279960
953,265080
954,266520
955,282240
956,269160
957,270000
958,271980
959,270540
960,258060
961,272700
962,267060
963,270300
964,275760
965,267900
966,275040
967,268380
968,284820
969,248160
970,268020
971,270960
972,269700
973,268260
974,263700
975,264900
976,271620
977,277500
978,267300
979,268500
980,271440
981,267180
982,269580
983,264120
984,262080
985,271620
986,272160
987,251940
988,270060
989,263580
990,270240
991,265200
992,270120
993,270000
994,257400
995,265920
996,264780
997,262620
998,271800
999,260040
1000,254280
1001,259740
1002,270840
1003,268740
1004,260160
1005,265620
1006,261960
1007,265980
1008,262920
1009,258900
1010,271740
1011,267960
1012,270300
1013,272700
1014,270420
1015,274560
1016,266160
1017,269460
1018,273360
1019,281700
1020,269520
1021,271560
1022,273000
1023,280140
1024,274080
1025,273240
1026,274260
1027,273480
1028,276780
1029,264300
1030,268620
1031,267060
1032,278820
1033,281340
1034,280500
1035,277500
1036,268500
1037,273960
1038,280020
1039,270660
1040,271380
1041,268320
1042,273300
1043,271200
1044,270420
1045,275700
1046,279120
1047,276180
1048,268440
1049,269520
1050,259440
1051,263580
1052,276000
1053,267960
1054,274440
1055,268320
1056,268920
1057,270660
1058,275820
1059,267660
1060,264660
1061,278340
1062,276720
1063,270060
1064,265920
1065,269880
1066,275520
1067,274440
1068,275460
1069,277860
1070,284460
1071,273780
1072,272400
1073,263460
1074,272880
1075,271800
1076,269640
1077,271320
1078,275760
1079,258600
1080,266760
1081,271980
1082,269580
1083,265620
1084,266880
1085,274320
1086,263640
1087,273120
1088,269880
1089,269580
1090,270900
1091,268680
1092,267360
1093,265380
1094,267120
1095,276000
1096,273720
1097,278100
1098,274200
1099,278280
1100,276060
1101,268320
1102,277560
1103,271680
1104,284040
1105,275100
1106,273360
1107,282660
1108,271200
1109,274320
1110,276300
1111,276900
1112,275760
1113,266640
1114,274680
1115,278580
1116,281040
1117,265740
1118,264600
1119,272040
1120,270840
1121,271200
1122,275820
1123,273660
1124,259500
1125,269580
1126,275880
1127,274260
1128,268020
1129,279300
1130,274320
1131,273180
1132,275220
1133,277800
1134,268260
1135,277680
1136,279360
1137,283620
1138,265500
1139,269880
1140,275280
1141,274200
1142,276120
1143,273840
1144,273060
1145,273780
1146,275580
1147,266220
1148,272040
1149,272460
1150,266760
1151,270720
1152,274620
1153,264240
1154,272460
1155,267120
1156,275880
1157,275220
1158,274560
1159,273540
1160,273660
1161,271980
1162,273180
1163,278280
1164,271020
1165,276000
1166,269760
1167,278520
1168,277440
1169,267780
1170,274140
1171,275220
1172,283260
1173,276960
1174,270600
1175,279480
1176,269820
1177,267840
1178,272820
1179,266160
1180,272220
1181,269520
1182,269940
1183,271080
1184,278400
1185,276900
1186,283980
1187,275040
1188,280860
1189,273720
1190,271440
1191,277740
1192,278460
1193,270720
1194,273720
1195,278760
1196,275220
1197,272580
1198,281340
1199,267120
1200,269580
1201,281940
1202,282120
1203,279300
1204,276960
1205,281100
1206,275220
1207,275400
1208,269940
1209,269580
1210,269880
1211,275220
1212,279480
1213,270660
1214,272580
1215,277200
1216,279780
1217,276300
1218,272460
1219,273180
1220,278340
1221,276180
1222,279300
1223,271680
1224,281280
1225,275640
1226,280440
1227,278520
1228,273120
1229,272220
1230,275760
1231,279180
1232,279540
1233,272280
1234,269880
1235,273900
1236,273660
1237,264480
1238,273840
1239,279840
1240,277140
1241,272100
1242,275400
1243,279000
1244,270360
1245,274200
1246,273900
1247,277500
1248,281700
1249,283500
1250,280020
1251,279300
1252,268020
1253,282540
1254,284340
1255,282060
1256,275220
1257,270420
1258,270900
1259,273780
1260,275760
1261,275460
1262,274800
1263,269340
1264,277080
1265,277620
1266,273960
1267,270480
1268,273780
1269,262140
1270,275940
1271,269940
1272,274620
1273,270840
1274,279180
1275,281220
1276,280140
1277,272280
1278,277140
1279,280860
1280,276900
1281,280620
1282,278160
