elapsed_sec,sum_next_o_id,orders_delta,nopm_rate
0,30010000,0,0
1,30010000,0,0.0
2,30010049,49,2940.0
3,30010260,211,12660.0
4,30010608,348,20880.0
5,30011081,473,28380.0
6,30011735,654,39240.0
7,30012524,789,47340.0
8,30013429,905,54300.0
9,30014497,1068,64080.0
10,30015666,1169,70140.0
11,30016921,1255,75300.0
12,30018323,1402,84120.0
13,30019910,1587,95220.0
14,30021572,1662,99720.0
15,30023338,1766,105960.0
16,30025208,1870,112200.0
17,30027231,2023,121380.0
18,30029325,2094,125640.0
20,30031480,2155,64650.0
21,30033690,2210,132600.0
22,30036045,2355,141300.0
23,30038548,2503,150180.0
24,30041139,2591,155460.0
25,30043807,2668,160080.0
26,30046598,2791,167460.0
27,30049443,2845,170700.0
28,30052393,2950,177000.0
29,30055432,3039,182340.0
30,30058584,3152,189120.0
31,30061791,3207,192420.0
32,30065042,3251,195060.0
33,30068304,3262,195720.0
34,30071677,3373,202380.0
35,30075014,3337,200220.0
36,30078381,3367,202020.0
37,30081775,3394,203640.0
38,30085202,3427,205620.0
39,30088623,3421,205260.0
40,30092035,3412,204720.0
41,30095532,3497,209820.0
42,30099051,3519,211140.0
43,30102660,3609,216540.0
44,30106322,3662,219720.0
45,30110001,3679,220740.0
46,30113812,3811,228660.0
47,30117600,3788,227280.0
48,30121386,3786,227160.0
49,30125210,3824,229440.0
50,30129086,3876,232560.0
52,30132946,3860,115800.0
53,30136893,3947,236820.0
54,30140911,4018,241080.0
55,30144902,3991,239460.0
56,30148939,4037,242220.0
57,30152950,4011,240660.0
58,30156984,4034,242040.0
59,30161051,4067,244020.0
60,30165145,4094,245640.0
61,30169251,4106,246360.0
62,30173362,4111,246660.0
63,30177425,4063,243780.0
64,30181525,4100,246000.0
65,30185713,4188,251280.0
66,30189883,4170,250200.0
67,30194123,4240,254400.0
68,30198244,4121,247260.0
69,30202353,4109,246540.0
70,30206512,4159,249540.0
71,30210766,4254,255240.0
72,30214916,4150,249000.0
73,30219117,4201,252060.0
74,30223225,4108,246480.0
75,30227400,4175,250500.0
76,30231544,4144,248640.0
77,30235648,4104,246240.0
78,30239905,4257,255420.0
80,30244095,4190,125700.0
81,30248226,4131,247860.0
82,30252448,4222,253320.0
83,30256690,4242,254520.0
84,30260865,4175,250500.0
85,30265201,4336,260160.0
86,30269504,4303,258180.0
87,30273774,4270,256200.0
88,30277964,4190,251400.0
89,30282292,4328,259680.0
90,30286585,4293,257580.0
91,30290868,4283,256980.0
92,30295241,4373,262380.0
93,30299576,4335,260100.0
94,30303912,4336,260160.0
95,30308277,4365,261900.0
96,30312638,4361,261660.0
97,30316997,4359,261540.0
98,30321373,4376,262560.0
99,30325801,4428,265680.0
100,30330144,4343,260580.0
101,30334520,4376,262560.0
102,30338847,4327,259620.0
103,30343378,4531,271860.0
104,30347731,4353,261180.0
106,30352176,4445,133350.0
107,30356653,4477,268620.0
108,30361127,4474,268440.0
109,30365490,4363,261780.0
110,30369889,4399,263940.0
111,30374293,4404,264240.0
112,30378675,4382,262920.0
113,30383102,4427,265620.0
114,30387530,4428,265680.0
115,30391899,4369,262140.0
116,30396293,4394,263640.0
117,30400616,4323,259380.0
118,30405039,4423,265380.0
119,30409378,4339,260340.0
120,30413778,4400,264000.0
121,30418234,4456,267360.0
122,30422650,4416,264960.0
123,30427100,4450,267000.0
124,30431559,4459,267540.0
125,30435991,4432,265920.0
126,30440393,4402,264120.0
127,30444845,4452,267120.0
128,30449232,4387,263220.0
129,30453676,4444,266640.0
130,30458047,4371,262260.0
131,30462461,4414,264840.0
133,30466875,4414,132420.0
134,30471258,4383,262980.0
135,30475718,4460,267600.0
136,30480163,4445,266700.0
137,30484646,4483,268980.0
138,30489090,4444,266640.0
139,30493593,4503,270180.0
140,30498045,4452,267120.0
141,30502535,4490,269400.0
142,30507005,4470,268200.0
143,30511485,4480,268800.0
144,30515993,4508,270480.0
145,30520454,4461,267660.0
146,30524878,4424,265440.0
147,30529341,4463,267780.0
148,30533854,4513,270780.0
149,30538308,4454,267240.0
150,30542841,4533,271980.0
151,30547370,4529,271740.0
152,30551911,4541,272460.0
153,30556376,4465,267900.0
154,30560896,4520,271200.0
155,30565436,4540,272400.0
156,30569915,4479,268740.0
157,30574426,4511,270660.0
159,30578889,4463,133890.0
160,30583336,4447,266820.0
161,30587822,4486,269160.0
