timestamp,elapsed_sec,sum_next_o_id
2026-04-25 17:43:04,165,32317916
2026-04-25 17:43:05,166,32322107
2026-04-25 17:43:06,167,32326271
2026-04-25 17:43:07,168,32330484
2026-04-25 17:43:09,170,32334557
2026-04-25 17:43:10,171,32338695
2026-04-25 17:43:11,172,32342898
2026-04-25 17:43:12,173,32347028
2026-04-25 17:43:13,174,32351143
2026-04-25 17:43:14,175,32355280
2026-04-25 17:43:16,177,32359447
2026-04-25 17:43:17,178,32363631
2026-04-25 17:43:18,179,32367732
2026-04-25 17:43:19,180,32371824
2026-04-25 17:43:20,181,32375990
2026-04-25 17:43:21,182,32380090
2026-04-25 17:43:22,183,32384356
2026-04-25 17:43:24,185,32388477
2026-04-25 17:43:25,186,32392698
2026-04-25 17:43:26,187,32396959
2026-04-25 17:43:27,188,32401176
2026-04-25 17:43:28,189,32405277
2026-04-25 17:43:29,190,32409414
2026-04-25 17:43:31,192,32413594
2026-04-25 17:43:32,193,32417737
2026-04-25 17:43:33,194,32421858
2026-04-25 17:43:34,195,32426033
2026-04-25 17:43:35,196,32430141
2026-04-25 17:43:36,197,32434416
2026-04-25 17:43:37,198,32438551
2026-04-25 17:43:39,200,32442731
2026-04-25 17:43:40,201,32446943
2026-04-25 17:43:41,202,32451065
2026-04-25 17:43:42,203,32455231
2026-04-25 17:43:43,204,32459351
2026-04-25 17:43:44,205,32463505
2026-04-25 17:43:46,207,32467598
2026-04-25 17:43:47,208,32471748
2026-04-25 17:43:48,209,32475867
2026-04-25 17:43:49,210,32480031
2026-04-25 17:43:50,211,32484164
2026-04-25 17:43:51,212,32488247
2026-04-25 17:43:52,213,32492437
2026-04-25 17:43:54,215,32496574
2026-04-25 17:43:55,216,32500648
2026-04-25 17:43:56,217,32504804
2026-04-25 17:43:57,218,32508968
2026-04-25 17:43:58,219,32513091
2026-04-25 17:43:59,220,32517296
2026-04-25 17:44:01,222,32521416
2026-04-25 17:44:02,223,32525593
2026-04-25 17:44:03,224,32529786
2026-04-25 17:44:04,225,32533897
2026-04-25 17:44:05,226,32538101
2026-04-25 17:44:06,227,32542252
2026-04-25 17:44:07,228,32546429
2026-04-25 17:44:09,230,32550618
2026-04-25 17:44:10,231,32554774
2026-04-25 17:44:11,232,32558919
2026-04-25 17:44:12,233,32563031
2026-04-25 17:44:13,234,32567134
2026-04-25 17:44:14,235,32571255
2026-04-25 17:44:15,236,32575431
2026-04-25 17:44:17,238,32579614
2026-04-25 17:44:18,239,32583784
2026-04-25 17:44:19,240,32587921
2026-04-25 17:44:20,241,32592091
2026-04-25 17:44:21,242,32596296
2026-04-25 17:44:22,243,32600446
2026-04-25 17:44:24,245,32604629
2026-04-25 17:44:25,246,32608830
2026-04-25 17:44:26,247,32613044
2026-04-25 17:44:27,248,32617153
2026-04-25 17:44:28,249,32621372
2026-04-25 17:44:29,250,32625474
2026-04-25 17:44:30,251,32629662
2026-04-25 17:44:32,253,32633757
2026-04-25 17:44:33,254,32637875
2026-04-25 17:44:34,255,32642101
2026-04-25 17:44:35,256,32646276
2026-04-25 17:44:36,257,32650452
2026-04-25 17:44:37,258,32654614
2026-04-25 17:44:39,260,32658754
2026-04-25 17:44:40,261,32662783
2026-04-25 17:44:41,262,32666869
2026-04-25 17:44:42,263,32670999
2026-04-25 17:44:43,264,32675176
2026-04-25 17:44:44,265,32679373
2026-04-25 17:44:45,266,32683623
2026-04-25 17:44:47,268,32687745
2026-04-25 17:44:48,269,32691587
2026-04-25 17:44:49,270,32695675
2026-04-25 17:44:50,271,32699911
2026-04-25 17:44:51,272,32704135
