elapsed_sec,sum_next_o_id,orders_delta,nopm_rate
204,30611711,3097,185820.0
205,30614789,3078,184680.0
206,30617882,3093,185580.0
207,30620938,3056,183360.0
208,30624026,3088,185280.0
209,30627100,3074,184440.0
210,30630139,3039,182340.0
212,30633197,3058,91740.0
213,30636186,2989,179340.0
214,30639217,3031,181860.0
215,30642303,3086,185160.0
216,30645332,3029,181740.0
217,30648258,2926,175560.0
218,30651171,2913,174780.0
219,30654053,2882,172920.0
220,30656927,2874,172440.0
221,30659781,2854,171240.0
222,30662700,2919,175140.0
223,30665530,2830,169800.0
224,30668408,2878,172680.0
225,30671357,2949,176940.0
226,30674326,2969,178140.0
227,30677259,2933,175980.0
228,30680313,3054,183240.0
230,30683322,3009,90270.0
231,30686309,2987,179220.0
232,30689323,3014,180840.0
233,30692355,3032,181920.0
234,30695417,3062,183720.0
235,30698525,3108,186480.0
236,30701346,2821,169260.0
237,30704228,2882,172920.0
238,30707190,2962,177720.0
239,30710129,2939,176340.0
240,30713101,2972,178320.0
241,30716081,2980,178800.0
242,30719082,3001,180060.0
243,30722004,2922,175320.0
244,30724934,2930,175800.0
246,30727921,2987,89610.0
247,30730899,2978,178680.0
248,30733880,2981,178860.0
249,30736898,3018,181080.0
250,30739810,2912,174720.0
251,30742681,2871,172260.0
252,30745556,2875,172500.0
253,30748503,2947,176820.0
254,30751461,2958,177480.0
255,30754461,3000,180000.0
256,30757508,3047,182820.0
257,30760545,3037,182220.0
258,30763584,3039,182340.0
259,30766587,3003,180180.0
261,30769631,3044,91320.0
262,30772705,3074,184440.0
263,30775908,3203,192180.0
264,30779058,3150,189000.0
265,30782222,3164,189840.0
266,30785405,3183,190980.0
267,30788560,3155,189300.0
268,30791700,3140,188400.0
269,30794913,3213,192780.0
270,30798107,3194,191640.0
271,30801260,3153,189180.0
272,30804413,3153,189180.0
273,30807606,3193,191580.0
274,30810715,3109,186540.0
275,30813943,3228,193680.0
277,30817195,3252,97560.0
278,30820315,3120,187200.0
279,30823535,3220,193200.0
280,30826711,3176,190560.0
281,30829917,3206,192360.0
282,30833064,3147,188820.0
283,30836249,3185,191100.0
284,30839417,3168,190080.0
285,30842574,3157,189420.0
286,30845697,3123,187380.0
287,30848876,3179,190740.0
288,30852035,3159,189540.0
289,30855130,3095,185700.0
290,30858336,3206,192360.0
292,30861524,3188,95640.0
293,30864685,3161,189660.0
294,30867862,3177,190620.0
295,30871058,3196,191760.0
296,30874210,3152,189120.0
297,30877313,3103,186180.0
298,30880429,3116,186960.0
299,30883584,3155,189300.0
300,30886753,3169,190140.0
301,30889911,3158,189480.0
302,30893031,3120,187200.0
303,30896206,3175,190500.0
304,30899253,3047,182820.0
305,30902322,3069,184140.0
306,30905375,3053,183180.0
308,30908305,2930,87900.0
309,30911268,2963,177780.0
310,30914278,3010,180600.0
311,30917238,2960,177600.0
312,30920229,2991,179460.0
313,30923277,3048,182880.0
314,30926336,3059,183540.0
315,30929410,3074,184440.0
316,30932497,3087,185220.0
317,30935516,3019,181140.0
318,30938601,3085,185100.0
320,30941628,3027,90810.0
321,30944653,3025,181500.0
322,30947627,2974,178440.0
323,30950757,3130,187800.0
324,30953797,3040,182400.0
325,30956910,3113,186780.0
326,30959981,3071,184260.0
327,30963136,3155,189300.0
328,30966264,3128,187680.0
329,30969388,3124,187440.0
331,30972543,3155,94650.0
332,30975650,3107,186420.0
333,30978853,3203,192180.0
334,30981972,3119,187140.0
335,30985114,3142,188520.0
336,30988207,3093,185580.0
337,30991267,3060,183600.0
338,30994449,3182,190920.0
339,30997504,3055,183300.0
340,31000611,3107,186420.0
341,31003709,3098,185880.0
343,31006760,3051,91530.0
344,31009806,3046,182760.0
345,31012857,3051,183060.0
346,31015957,3100,186000.0
347,31018929,2972,178320.0
348,31021951,3022,181320.0
349,31024932,2981,178860.0
350,31027893,2961,177660.0
351,31030921,3028,181680.0
352,31033944,3023,181380.0
353,31036895,2951,177060.0
354,31039910,3015,180900.0
355,31042957,3047,182820.0
356,31045967,3010,180600.0
357,31048996,3029,181740.0
358,31051969,2973,178380.0
360,31054919,2950,88500.0
361,31057908,2989,179340.0
362,31060927,3019,181140.0
363,31063876,2949,176940.0
364,31066886,3010,180600.0
365,31069823,2937,176220.0
366,31072786,2963,177780.0
367,31075717,2931,175860.0
368,31078710,2993,179580.0
369,31081625,2915,174900.0
370,31084606,2981,178860.0
371,31087584,2978,178680.0
372,31090555,2971,178260.0
373,31093519,2964,177840.0
374,31096509,2990,179400.0
375,31099500,2991,179460.0
376,31102521,3021,181260.0
377,31105563,3042,182520.0
379,31108522,2959,88770.0
380,31111501,2979,178740.0
381,31114479,2978,178680.0
382,31117444,2965,177900.0
383,31120321,2877,172620.0
384,31123298,2977,178620.0
385,31126198,2900,174000.0
386,31129084,2886,173160.0
387,31132050,2966,177960.0
388,31135032,2982,178920.0
389,31138014,2982,178920.0
390,31140943,2929,175740.0
391,31143874,2931,175860.0
392,31146802,2928,175680.0
393,31149795,2993,179580.0
394,31152695,2900,174000.0
395,31155608,2913,174780.0
396,31158573,2965,177900.0
397,31161447,2874,172440.0
399,31164371,2924,87720.0
400,31167298,2927,175620.0
401,31170172,2874,172440.0
402,31173114,2942,176520.0
403,31176037,2923,175380.0
404,31178929,2892,173520.0
405,31181840,2911,174660.0
406,31184765,2925,175500.0
407,31187641,2876,172560.0
408,31190591,2950,177000.0
409,31193533,2942,176520.0
410,31196452,2919,175140.0
411,31199291,2839,170340.0
412,31202212,2921,175260.0
413,31205179,2967,178020.0
414,31208036,2857,171420.0
415,31210960,2924,175440.0
416,31213789,2829,169740.0
418,31216617,2828,84840.0
419,31219555,2938,176280.0
420,31222453,2898,173880.0
421,31225307,2854,171240.0
422,31228233,2926,175560.0
423,31231153,2920,175200.0
424,31234015,2862,171720.0
425,31236873,2858,171480.0
426,31239836,2963,177780.0
427,31242760,2924,175440.0
428,31245687,2927,175620.0
429,31248551,2864,171840.0
430,31251392,2841,170460.0
431,31254188,2796,167760.0
432,31257093,2905,174300.0
433,31260000,2907,174420.0
434,31262870,2870,172200.0
435,31265813,2943,176580.0
436,31268701,2888,173280.0
438,31271499,2798,83940.0
439,31274377,2878,172680.0
440,31277272,2895,173700.0
441,31280097,2825,169500.0
442,31283014,2917,175020.0
443,31285829,2815,168900.0
444,31288659,2830,169800.0
445,31291579,2920,175200.0
446,31294478,2899,173940.0
447,31297369,2891,173460.0
448,31300196,2827,169620.0
449,31303026,2830,169800.0
450,31305833,2807,168420.0
451,31308693,2860,171600.0
452,31311551,2858,171480.0
453,31314402,2851,171060.0
454,31317194,2792,167520.0
455,31319946,2752,165120.0
456,31322797,2851,171060.0
458,31325682,2885,86550.0
459,31328498,2816,168960.0
460,31331328,2830,169800.0
461,31334132,2804,168240.0
462,31336913,2781,166860.0
463,31339771,2858,171480.0
464,31342604,2833,169980.0
465,31345424,2820,169200.0
466,31348209,2785,167100.0
467,31351117,2908,174480.0
468,31353924,2807,168420.0
469,31356730,2806,168360.0
470,31359507,2777,166620.0
471,31362321,2814,168840.0
472,31365115,2794,167640.0
473,31367942,2827,169620.0
474,31370815,2873,172380.0
475,31373644,2829,169740.0
476,31376503,2859,171540.0
478,31379262,2759,82770.0
479,31382041,2779,166740.0
480,31384835,2794,167640.0
481,31387655,2820,169200.0
482,31390459,2804,168240.0
483,31393271,2812,168720.0
484,31396060,2789,167340.0
485,31398859,2799,167940.0
486,31401635,2776,166560.0
487,31404340,2705,162300.0
488,31407133,2793,167580.0
489,31409936,2803,168180.0
490,31412668,2732,163920.0
491,31415442,2774,166440.0
492,31418223,2781,166860.0
493,31420943,2720,163200.0
494,31423745,2802,168120.0
495,31426517,2772,166320.0
497,31429305,2788,83640.0
498,31432070,2765,165900.0
499,31434806,2736,164160.0
500,31437524,2718,163080.0
501,31440271,2747,164820.0
502,31443037,2766,165960.0
503,31445791,2754,165240.0
504,31448503,2712,162720.0
505,31451270,2767,166020.0
506,31454005,2735,164100.0
507,31456727,2722,163320.0
508,31459578,2851,171060.0
509,31462315,2737,164220.0
510,31465017,2702,162120.0
511,31467758,2741,164460.0
512,31470470,2712,162720.0
513,31473241,2771,166260.0
514,31475980,2739,164340.0
516,31478745,2765,82950.0
517,31481480,2735,164100.0
518,31484260,2780,166800.0
519,31487020,2760,165600.0
520,31489708,2688,161280.0
521,31492413,2705,162300.0
522,31495101,2688,161280.0
523,31497797,2696,161760.0
524,31500545,2748,164880.0
525,31503258,2713,162780.0
526,31505946,2688,161280.0
527,31508677,2731,163860.0
528,31511349,2672,160320.0
529,31514042,2693,161580.0
530,31516696,2654,159240.0
531,31519357,2661,159660.0
532,31522086,2729,163740.0
533,31524745,2659,159540.0
534,31527508,2763,165780.0
536,31530260,2752,82560.0
537,31532895,2635,158100.0
538,31535396,2501,150060.0
539,31537952,2556,153360.0
540,31540508,2556,153360.0
541,31543119,2611,156660.0
542,31545769,2650,159000.0
543,31548387,2618,157080.0
544,31551025,2638,158280.0
545,31553693,2668,160080.0
546,31556367,2674,160440.0
548,31559037,2670,80100.0
549,31561728,2691,161460.0
550,31564419,2691,161460.0
551,31567083,2664,159840.0
552,31569714,2631,157860.0
553,31572435,2721,163260.0
554,31575149,2714,162840.0
555,31577878,2729,163740.0
556,31580573,2695,161700.0
557,31583309,2736,164160.0
558,31585781,2472,148320.0
560,31588389,2608,78240.0
561,31591010,2621,157260.0
562,31593610,2600,156000.0
563,31596291,2681,160860.0
564,31599019,2728,163680.0
565,31601703,2684,161040.0
566,31604459,2756,165360.0
567,31606949,2490,149400.0
568,31609555,2606,156360.0
569,31612131,2576,154560.0
570,31614727,2596,155760.0
572,31617303,2576,77280.0
573,31619990,2687,161220.0
574,31622638,2648,158880.0
575,31625228,2590,155400.0
576,31627904,2676,160560.0
577,31630629,2725,163500.0
578,31633266,2637,158220.0
579,31636001,2735,164100.0
580,31638739,2738,164280.0
581,31641446,2707,162420.0
582,31644095,2649,158940.0
584,31646841,2746,82380.0
585,31649593,2752,165120.0
586,31652400,2807,168420.0
