elapsed_sec,sum_next_o_id,orders_delta,nopm_rate
0,30010000,0,0
1,30010000,0,0.0
2,30010053,53,3180.0
3,30010260,207,12420.0
4,30010622,362,21720.0
5,30011117,495,29700.0
6,30011749,632,37920.0
7,30012529,780,46800.0
8,30013425,896,53760.0
9,30014480,1055,63300.0
10,30015663,1183,70980.0
11,30016968,1305,78300.0
13,30018424,1456,43680.0
14,30019963,1539,92340.0
15,30021529,1566,93960.0
16,30023215,1686,101160.0
17,30025057,1842,110520.0
18,30027027,1970,118200.0
19,30029104,2077,124620.0
20,30031301,2197,131820.0
21,30033546,2245,134700.0
22,30035885,2339,140340.0
23,30038365,2480,148800.0
24,30040947,2582,154920.0
25,30043634,2687,161220.0
26,30046423,2789,167340.0
27,30049255,2832,169920.0
28,30052110,2855,171300.0
29,30055138,3028,181680.0
30,30058236,3098,185880.0
31,30061337,3101,186060.0
32,30064615,3278,196680.0
33,30067888,3273,196380.0
34,30071178,3290,197400.0
35,30074665,3487,209220.0
36,30078014,3349,200940.0
37,30081474,3460,207600.0
38,30084918,3444,206640.0
39,30088378,3460,207600.0
40,30091865,3487,209220.0
41,30095384,3519,211140.0
42,30098912,3528,211680.0
43,30102600,3688,221280.0
44,30106291,3691,221460.0
45,30110093,3802,228120.0
46,30113905,3812,228720.0
48,30117720,3815,114450.0
49,30121648,3928,235680.0
50,30125471,3823,229380.0
51,30129364,3893,233580.0
52,30133329,3965,237900.0
53,30137320,3991,239460.0
54,30141323,4003,240180.0
55,30145372,4049,242940.0
56,30149491,4119,247140.0
57,30153569,4078,244680.0
58,30157642,4073,244380.0
59,30161705,4063,243780.0
60,30165791,4086,245160.0
61,30170018,4227,253620.0
62,30174066,4048,242880.0
63,30178149,4083,244980.0
64,30182351,4202,252120.0
65,30186442,4091,245460.0
66,30190571,4129,247740.0
67,30194691,4120,247200.0
68,30198911,4220,253200.0
69,30203029,4118,247080.0
70,30207170,4141,248460.0
71,30211348,4178,250680.0
72,30215580,4232,253920.0
73,30219873,4293,257580.0
74,30224072,4199,251940.0
76,30228197,4125,123750.0
77,30232333,4136,248160.0
78,30236575,4242,254520.0
79,30240732,4157,249420.0
80,30244984,4252,255120.0
81,30249278,4294,257640.0
82,30253493,4215,252900.0
83,30257758,4265,255900.0
84,30262091,4333,259980.0
85,30266390,4299,257940.0
86,30270726,4336,260160.0
87,30275016,4290,257400.0
88,30279314,4298,257880.0
89,30283607,4293,257580.0
90,30287953,4346,260760.0
91,30292174,4221,253260.0
92,30296538,4364,261840.0
93,30300870,4332,259920.0
94,30305239,4369,262140.0
95,30309633,4394,263640.0
96,30314026,4393,263580.0
97,30318403,4377,262620.0
98,30322806,4403,264180.0
99,30327233,4427,265620.0
100,30331689,4456,267360.0
101,30336113,4424,265440.0
102,30340477,4364,261840.0
104,30344881,4404,132120.0
105,30349295,4414,264840.0
106,30353720,4425,265500.0
107,30358150,4430,265800.0
108,30362490,4340,260400.0
109,30366881,4391,263460.0
110,30371238,4357,261420.0
111,30375570,4332,259920.0
112,30379896,4326,259560.0
113,30384247,4351,261060.0
114,30388560,4313,258780.0
115,30392969,4409,264540.0
116,30397318,4349,260940.0
117,30401634,4316,258960.0
118,30405930,4296,257760.0
119,30410290,4360,261600.0
120,30414657,4367,262020.0
121,30418975,4318,259080.0
122,30423339,4364,261840.0
123,30427772,4433,265980.0
124,30432152,4380,262800.0
125,30436511,4359,261540.0
126,30440896,4385,263100.0
127,30445307,4411,264660.0
128,30449653,4346,260760.0
129,30454002,4349,260940.0
131,30458442,4440,133200.0
132,30462842,4400,264000.0
133,30467253,4411,264660.0
134,30471674,4421,265260.0
135,30476120,4446,266760.0
136,30480556,4436,266160.0
137,30484928,4372,262320.0
138,30489257,4329,259740.0
139,30493637,4380,262800.0
140,30498022,4385,263100.0
141,30502500,4478,268680.0
142,30506904,4404,264240.0
143,30511346,4442,266520.0
144,30515804,4458,267480.0
145,30520224,4420,265200.0
146,30524676,4452,267120.0
147,30529128,4452,267120.0
148,30533568,4440,266400.0
149,30538063,4495,269700.0
150,30542510,4447,266820.0
151,30546949,4439,266340.0
152,30551454,4505,270300.0
153,30555917,4463,267780.0
154,30560398,4481,268860.0
155,30564852,4454,267240.0
156,30569260,4408,264480.0
158,30573754,4494,134820.0
159,30578215,4461,267660.0
160,30582654,4439,266340.0
161,30587110,4456,267360.0
