second,tpm
0,0
1,3540
2,19500
3,44280
4,72360
5,97800
6,127560
7,163680
8,192120
9,222180
10,256200
11,282540
12,307440
13,351600
14,379260
15,406020
16,452040
17,483240
18,521640
19,553080
20,585420
21,574680
22,603360
23,631500
24,657120
25,668160
26,700500
27,687300
28,701700
29,728820
30,740160
31,762900
32,777180
33,815760
34,821220
35,811740
36,836640
37,847140
38,875700
39,895200
40,915360
41,919380
42,921900
43,930660
44,922620
45,916980
46,928920
47,939180
48,951960
49,963060
50,970680
51,975240
52,966060
53,957480
54,971760
55,987660
56,943200
57,901860
58,875220
59,887940
60,894180
61,1000500
62,997620
63,997980
64,1021080
65,1026180
66,1016280
67,1033920
68,1036980
69,1015860
70,1025160
71,1023840
72,1024800
73,1022280
74,1041540
75,1027560
76,1040460
77,992100
78,1015140
79,1011600
80,1022700
81,1020120
82,1027080
83,1033020
84,1033680
85,1040640
86,1026540
87,1037940
88,1040940
89,1042860
90,1039980
91,1038420
92,1038360
93,1044900
94,1040820
95,1056180
96,1023720
97,1059120
98,1056480
99,1045020
100,1048080
101,1049580
102,1066740
103,1061340
104,1059660
105,1053120
106,1067520
107,1064280
108,1057740
109,1034340
110,1057260
111,1048740
112,1048320
113,1051740
114,1043880
115,1049760
116,1047120
117,1052220
118,1046640
119,1062960
120,1041960
121,1044600
122,1036980
123,1035420
124,1046220
125,1040400
126,1041300
127,1033680
128,1051860
129,1022100
130,1038780
131,1041960
132,1037520
133,1053900
134,1051260
135,1057140
136,1047780
137,1052340
138,1049580
139,1053420
140,1040760
141,1037880
142,1038540
143,1046520
144,1042560
145,1059420
146,1046520
147,1061160
148,1041720
149,1043400
150,1043520
151,1039560
152,1045860
153,1056420
154,1028280
155,1041420
156,1051080
157,1046880
158,1047300
159,1051380
160,1056540
161,1046880
162,1034160
163,1029240
164,1047000
165,1043220
166,1048080
167,1040460
168,1046160
169,1053660
170,1055340
171,1057140
172,1067940
173,1048020
174,1080540
175,1049880
176,1056180
177,1059060
178,1066860
179,1061880
180,1055460
181,1049460
182,1060800
183,1068180
184,1077840
185,1057080
186,1070280
187,1074060
188,1061760
189,1058040
190,1058100
191,1054800
192,1063080
193,1074120
194,1061340
195,1072020
196,1055220
197,1060920
198,1092720
199,1070220
200,1084020
201,1061580
202,1060980
203,1064340
204,1065240
205,1076220
206,1068960
207,1059420
208,1067640
209,1077540
210,1059000
211,1054920
212,1062720
213,1058100
214,1064640
215,1066800
216,1045380
217,1068060
218,1076820
219,1064820
220,1074840
221,1064400
222,1069500
223,1050900
224,1066140
225,1074300
226,1058220
227,1069020
228,1053660
229,1059480
230,1056480
231,1063380
232,1067940
233,1064460
234,1060680
235,1067400
236,1057440
237,1067580
238,1052820
239,1066800
240,1062480
241,1061940
242,1075920
243,1067160
244,1080000
245,1062540
246,1058100
247,1057500
248,1077780
249,1064760
250,1065060
251,1064520
252,1065420
253,1068240
254,1071960
255,1063920
256,1072140
257,1071900
258,1067100
259,1068000
260,1067100
261,1059900
262,1057560
263,1059120
264,1065120
265,1081860
266,1058760
267,1076940
268,1068000
269,1068780
270,1075620
271,1075500
272,1079820
273,1074780
274,1070400
275,1063320
276,1079460
277,1076460
278,1084440
279,1076040
280,1070880
281,1067340
282,1070520
283,1075260
284,1075860
285,1068780
286,1069200
287,1067460
288,1055520
289,1060680
290,1080360
291,1079700
292,1066260
293,1066200
294,1075140
295,1069560
296,1066680
297,1076100
298,1078260
299,1063860
300,1082760
301,1074900
302,1061700
303,1071240
304,1062540
305,1079400
306,1065240
307,1063020
308,1077420
309,1072620
310,1074960
311,1070040
312,1068840
313,1077540
314,1078620
315,1069380
316,1069500
317,1065600
318,1077900
319,1071120
320,1083360
321,1084200
322,1072800
323,1051680
324,1062720
325,1071780
326,1060140
327,1087680
328,1062120
329,1064820
330,1065060
331,1067400
332,1066500
333,1075500
334,1054260
335,1067760
336,1073640
337,1075140
338,1066140
339,1084680
340,1066620
341,1069200
342,1084980
343,1072560
344,1057140
345,1077420
346,1082820
347,1073700
348,1078140
349,1072980
350,1069500
351,1064940
352,1080120
353,1067760
354,1064760
355,1077180
356,1085400
357,1054440
358,1073040
359,1065540
360,1083480
361,1063260
362,1072440
363,1075140
364,1073580
365,1073640
366,1078020
367,1064700
368,1075920
369,1079100
370,1090020
371,1071720
372,1067460
373,1080420
374,1079760
375,1071780
376,1070400
377,1079820
378,1071120
379,1076580
380,1076400
381,1062420
382,1085100
383,1068300
384,1087740
385,1082040
386,1072020
387,1044480
388,1081980
389,1076640
390,1073640
391,1083240
392,1067100
393,1067880
394,1089060
395,1076340
396,1076040
397,1070460
398,1070340
399,1083900
400,1068180
401,1077120
402,1066440
403,1054920
404,1072260
405,1081500
406,1087380
407,1085820
408,1094880
409,1079640
410,1083660
411,1085100
412,1066440
413,1089360
414,1090860
415,1075140
416,1089300
417,1078080
418,1074540
419,1069740
420,1052280
421,1078020
422,1071240
423,1078560
424,1082820
425,1077300
426,1082040
427,1073460
428,1052460
429,1053960
430,1077360
431,1060560
432,1073160
433,1056120
434,1067520
435,1013340
436,1047660
437,1054620
438,1063740
439,1087920
440,1062060
441,1067220
442,1079820
443,1062180
444,1034040
445,1044000
446,1077900
447,1067820
448,1086960
449,1077060
450,1082820
451,1069560
452,1067820
453,1075140
454,1083840
455,1088700
456,1077540
457,1066500
458,1082280
459,1065360
460,1033560
461,1011000
462,1063800
463,1080480
464,1071240
465,1064460
466,1086840
467,1090080
468,1059660
469,1073280
470,1091220
471,1074720
472,1070880
473,1080360
474,1078020
475,1058040
476,1083180
477,1062960
478,1071120
479,1086840
480,1082460
481,1078260
482,1087860
483,1083180
484,1077000
485,1087140
486,1076400
487,1076640
488,1084560
489,1074180
490,1087440
491,1096620
492,1077840
493,1071840
494,1085340
495,1072620
496,1084560
497,1072800
498,1075260
499,1078140
500,1089240
501,1077300
502,1084320
503,1075980
504,1066260
505,1082280
506,1075980
507,1091640
508,1073580
509,1076400
510,1079100
511,1078560
512,1074780
513,1079580
514,1088760
515,1084020
516,1067940
517,1090380
518,1084380
519,1090440
520,1089960
521,1076820
522,1072200
523,1083540
524,1076280
525,1083300
526,1082760
527,1081980
528,1088520
529,1079280
530,1072620
531,1089180
532,1085700
533,1084080
534,1075620
535,1080300
536,1091040
537,1078560
538,1081800
539,1082280
540,1075800
541,1068240
542,1095480
543,1077420
544,1073460
545,1076280
546,1098120
547,1107960
548,1101900
549,1099800
550,1118880
551,1113240
552,1101180
553,1115220
554,1104720
555,1103520
556,1113000
557,1116960
558,1105800
559,1089300
560,1116780
561,1104420
562,1115340
563,1098600
564,1113600
565,1109100
566,1105440
567,1111740
568,1105140
569,1114740
570,1113060
571,1095480
572,1119780
573,1100820
574,1096020
575,1095120
576,1104300
577,1104900
578,1111980
579,1098360
580,1114560
581,1088940
582,1106340
583,1105380
584,1116180
585,1108920
586,1107300
587,1116000
588,1114500
589,1110120
590,1110780
591,1118820
592,1091160
593,1108860
594,1097760
595,1101240
596,1100100
597,1102860
598,1124460
599,1108320
600,1098960
601,1101420
602,1102020
603,1098300
604,1116060
605,1103940
606,1100940
607,1109160
608,1102380
609,1106640
610,1103340
611,1103340
612,1114920
613,1102140
614,1117740
615,1103340
616,1105680
617,1121760
618,1101600
619,1104660
620,1104780
621,1096620
622,1114020
623,1103160
624,1101600
625,1117500
626,1086480
627,1114560
628,1098840
629,1094460
630,1107420
